Storage Location,node1,node2
130,ATWWP001K24P,ATN01K24P
330,SOS005L04P,SOS002L09P
330,SOS005L04P,SOS003L04P
330,SOS005L04P,SOS500M24P
330,SOS005L04P,SOS001L12P
330,SOS005L04P,AT5X5K
330,SOS005L04P,POV001L24P
330,SOS005L04P,POV500M24P
330,SOS005L04P,ATN01K24P
330,SOS005L04P,MAR01K24P
330,SOS005L04P,SE500G24P
330,SOS005L04P,SOS008L02P
330,SOS005L04P,POP002L09P
330,SOS005L04P,POP500M24P
330,SOS005L04P,POV002L09P
330,SOS005L04P,POV005L04P
330,SOS005L04P,POP001L12P
330,SOS005L04P,POP005L04P
330,SOS005L04P,POPF01L12P
330,SOS005L04P,MASR025K
330,SOS005L04P,SOP001L12P
330,SOS005L04P,ATN02K12P
330,SOS005L04P,SE200G24P
330,SOS005L04P,MAR02K12P
330,SOS002L09P,SOS003L04P
330,SOS002L09P,SOS500M24P
330,SOS002L09P,SOS001L12P
330,SOS002L09P,AT5X5K
330,SOS002L09P,POV001L24P
330,SOS002L09P,POV500M24P
330,SOS002L09P,ATN01K24P
330,SOS002L09P,MAR01K24P
330,SOS002L09P,SE500G24P
330,SOS002L09P,SOS008L02P
330,SOS002L09P,POP002L09P
330,SOS002L09P,POP500M24P
330,SOS002L09P,POV002L09P
330,SOS002L09P,POV005L04P
330,SOS002L09P,POP001L12P
330,SOS002L09P,POP005L04P
330,SOS002L09P,POPF01L12P
330,SOS002L09P,MASR025K
330,SOS002L09P,SOP001L12P
330,SOS002L09P,ATN02K12P
330,SOS002L09P,SE200G24P
330,SOS002L09P,MAR02K12P
330,SOS003L04P,SOS500M24P
330,SOS003L04P,SOS001L12P
330,SOS003L04P,AT5X5K
330,SOS003L04P,POV001L24P
330,SOS003L04P,POV500M24P
330,SOS003L04P,ATN01K24P
330,SOS003L04P,MAR01K24P
330,SOS003L04P,SE500G24P
330,SOS003L04P,SOS008L02P
330,SOS003L04P,POP002L09P
330,SOS003L04P,POP500M24P
330,SOS003L04P,POV002L09P
330,SOS003L04P,POV005L04P
330,SOS003L04P,POP001L12P
330,SOS003L04P,POP005L04P
330,SOS003L04P,POPF01L12P
330,SOS003L04P,MASR025K
330,SOS003L04P,SOP001L12P
330,SOS003L04P,ATN02K12P
330,SOS003L04P,SE200G24P
330,SOS003L04P,MAR02K12P
330,SOS500M24P,SOS001L12P
330,SOS500M24P,AT5X5K
330,SOS500M24P,POV001L24P
330,SOS500M24P,POV500M24P
