Date,SOS008L02P,SOS005L04P,SOS003L04P,SOS002L09P,SOS001L12P,SOS500M24P,SOS250M48P,SOP001L12P,POV005L04P,POV002L09P,POV001L24P,POV500M24P,POP001L12P,POP015K,SO0005L04P,SO0002L09P,SO0001L12P,SO0500M24P,POP005L04P,POP002L09P,POP001L12P.1,POP500M24P,POPF01L12P,AT5X5K,ATN02K12P,ATN01K24P,MAR02K12P,MAR01K24P,ATWWP002K12P,ATWWP001K24P,MASR025K,MAHS025K,SE500G24P,SE200G24P,ATPPCH5X5K,ATPA1K24P,MAPA1K24P,MAP1K25P,MAC1K25P,EEA500G12P,EEA200G24P
01/01/2023 0:00,455,2241,342,1698,3816,1555,69,23,72,84,634,414,275,0,0,0,0,0,10.00098901,89,253,82,10,707,497.08,470,99,137,0,0,120,0,160,0,0,0,0,0,0,0,0
02/01/2023 0:00,327,8286,1458,9240,12683,5324,66,60,85,345,1045,1111,690,0,0,0,0,0,7,100,276,129,298,2317,823,4269,236,962,0,0,129,0,980,55.22895833,0,0,0,0,0,0,0
03/01/2023 0:00,523.5,11279.75,1207,10290.44505,14731.16603,5393.5,24,42.83206522,270,342,1061,442,483,0,0,0,0,0,35,114,418,281,75,2215.6,1166.25,4086.333,173.583,1007.875,0,1,26,18,854.5,203,0,0,0,0,0,0,0
04/01/2023 0:00,158,9897,1436,10267.88696,13842.66603,5641,0,265,155,193,1071,440,905,0,0,0,0,0,73,109,348,283,110,2439,923,5124.333,103,1387,0,15,24,17,583,66.77104167,0,0,0,0,0,0,0
05/01/2023 0:00,351.5,8843.25,896,7193.276993,9933.416938,4089,0,43.41702899,151,340,1143,904,1098,0,0,0,0,0,5,5,213,51,24,735.8,875,3566.958,176,361.865,0,1,62,15,347.667,35,0,0,0,0,0,0,0
06/01/2023 0:00,55,5193,770,4397,5392,1960,0,130,175,330,580,430,430,0,0,0,0,0,25,50,204,115,78,1147,348,2012,5,265,0,3,0,0,230,0,0,0,0,0,0,0,0
07/01/2023 0:00,434,10303,1099,8929.16401,12888,4485,10,45,169,179,586,480,924,0,0,0,0,0,43,30.99700855,197,96,660,1667,755,2064,247,1405,0,5,60,0,863,12.22895833,0,0,0,0,0,0,0
08/01/2023 0:00,243,6683,627,5750.110024,6249,3125,450,50,110,150,725,548,323,0,0,0,0,0,25,40,243,119,115,1225,897,1508,211,562,30,36,79,0,284,220,0,0,0,0,0,0,0
09/01/2023 0:00,162,9287.25,1543,6022.776027,11547,3557.602808,789,40,178,245,1013,500,742,0,0,0,0,0,0,69,274,90,67,3501.94,1527,7875,162,1617.01,111.166,147,124,47,541,145,0,0,0,0,25,0,0
10/01/2023 0:00,456,8821.25,1228,3301.11099,12117,3644,760,13,125,305,437,344,1155,0,0,0,0,0,30,108,267,125,50,1559,759,5823,88,882.99,15,256.625,172,130,770,100,0,0,0,0,4,0,0
11/01/2023 0:00,181,9323.25,1781,1452.555978,13574,4492.000996,931,0,317,47,1237,686,1147,0,0,0,0,0,21,111,329,272,21,2590,1041,6757,263,1121,85,190,256,7,471,0,0,0,0,0,0,0,0
12/01/2023 0:00,478,7213.25,811,3465.442995,9718.666033,4413.000996,593,126,202,0,645,912,1480,0,0,0,0,0,34,20,424,260,0,1824,1272,4685,145,1186,35,185,94,0,667,20,0,0,0,0,0,0,0
13/01/2023 0:00,260,4348,789,3904,5949,1639,284,71.08396739,90,225,720,476,175,0,0,0,0,0,35,37,238,14,400,538,86,3114,30,142,2,32,55,0,396,60,0,0,0,0,0,0,0
14/01/2023 0:00,629,6484,692,7204.88901,7988,3378.01096,355,30,103,17,390,329,1399,0,0,0,0,0,15,23,296,230,222,1218,850,3596,130,871.01,0,106,84,104,376,119,0,0,0,0,20,0,0
