Date,SOS008L02P,SOS005L04P,SOS003L04P,SOS002L09P,SOS001L12P,SOS500M24P,SOS250M48P,SOP001L12P,POV005L04P,POV002L09P,POV001L24P,POV500M24P,POP001L12P,POP015K,SO0005L04P,SO0002L09P,SO0001L12P,SO0500M24P,POP005L04P,POP002L09P,POP001L12P.1,POP500M24P,POPF01L12P,AT5X5K,ATN02K12P,ATN01K24P,MAR02K12P,MAR01K24P,ATWWP002K12P,ATWWP001K24P,MASR025K,MAHS025K,SE500G24P,SE200G24P,ATPPCH5X5K,ATPA1K24P,MAPA1K24P,MAP1K25P,MAC1K25P,EEA500G12P,EEA200G24P
01/01/2023 0:00,220,2598,287,2080,2748,1670.634,0,10,100,200,390,245,75,0,0,0,0,0,0,0,125,0,152,970,100,2600,0,480,0,0,0,43,1341,200,0,0,0,0,0,0,0
02/01/2023 0:00,485,4982,1048,4640,7560,3676,0,60,88,318,1250,1037,530,0,0,0,0,0,25,165,483,390,250,1720,705,3140,100,425,0,0,70,0,427,46,0,0,0,0,0,0,0
03/01/2023 0:00,520,11175,719,10801,12661,6334.5,0,0,195,401,938,530,916,0,0,0,0,0,36,28,201,50,64,2964,1685,3875,140,1110,0,0,160,5,435,0,0,0,0,0,0,0,0
04/01/2023 0:00,305,8286,1016,9004,12087,5525,0,297,160,51,800,525,930,0,0,0,0,0,105,91,254,162,200,2265,945,4318,108,1014,0,0,0,0,300,1,0,0,0,0,0,0,0
05/01/2023 0:00,320,9787,1120,8875,12414,4576,0,0,195,470,1365,860,978,0,0,0,0,0,30,30,470,275,160,1100,665,3869,300,1155,0,0,30,0,645,0,0,0,0,0,0,0,0
06/01/2023 0:00,390,8954,865,9742,8453,3090,0,140,135,235,955,778,315,0,0,0,0,0,30,160,140,70,0,1437,250,4322,0,1380,0,0,59,0,555,0,0,0,0,0,0,0,0
07/01/2023 0:00,300,5247,630,3564,5537,2169,0,40,100,314,230,190,950,0,0,0,0,0,0,90,530,130,540,1672,690,995,230,120,100,123,100,0,100,0,0,0,0,0,0,0,0
08/01/2023 0:00,78,9138,795,8324,8480,1840,1055,20,99,438,801,643,250,0,0,0,0,0,29,108,105,25,50,1009,720,1460,100,925,60,595,25,34,910,365,0,0,0,0,29,0,0
09/01/2023 0:00,115,7796,1215,825,11839,2367,1375,27,325,0,547,220,515,0,0,0,0,0,0,10,85,65,0,3129,1240,5775,241,1360,50,846,50,22,245,100,0,0,0,0,0,0,0
10/01/2023 0:00,398,12280,2360,0,11368,4366,937,20,80,0,1170,249,1500,0,0,0,0,0,25,61,412,213,50,1200,920,5990,160,453,50,15,230,130,537,0,0,0,0,0,0,0,0
11/01/2023 0:00,516,10569,2296,0,16066,6498,715,100,310,0,1055,960,749,0,0,0,0,0,70,0,642,672,0,2905,1875,6280,170,1855,50,10,175,3,690,0,0,0,0,0,0,0,0
12/01/2023 0:00,898,8584,1134,5469,11037,6094,566,130,289,0,665,1150,1620,0,0,0,0,0,93,0,516,153,0,2026,1460,6243,250,940,40,104,391,124,524,288,0,0,0,0,0,0,0
13/01/2023 0:00,400,6634,865,11424,7544,2758,104,60,190,235,510,524,505,0,0,0,0,0,0,115,10,0,410,880,30,4210,0,1202,0,0,10,0,510,160,0,0,0,0,0,0,0
14/01/2023 0:00,365,2593,135,4528,6748,2807,33,115,40,30,440,80,1050,0,0,0,0,0,20,65,130,30,222,1040,235,2745,150,510,0,20,160,0,600,20,0,0,0,0,20,0,0
15/01/2023 0:00,210,6765,403,10245,11420,3127,9,150,105,860,1235,620,1292,0,0,0,0,0,44,70,100,50,0,1110,831,2165,0,210,30,100,66,0,1525,95,0,0,0,0,0,0,0
16/01/2023 0:00,940,10740,1574,11455,13147,6566,0,5,270,520,1263,1235,474,0,0,0,0,0,50,130,144,110,75,2600,1540,4784,100,425,40,10,86,10,2540,36,0,0,0,0,0,0,0
17/01/2023 0:00,734,7761,1111,9661,11925,5276,150,42,100,245,610,430,983,0,0,0,0,0,14,94,240,248,200,1786,1286,3969,400,1248,0,5,210,150,779,0,0,0,0,100,0,0,0
18/01/2023 0:00,650,6242,835,7740,8362,587,1926,20,225,155,1734,805,700,0,0,0,0,0,30,65,44,120,650,1775,1149,3905,0,620,50,0,270,0,1067,7,0,0,0,0,12,0,0
19/01/2023 0:00,85,6535,1215,6027,9509,1056,241,210,335,375,1365,361,1063,0,0,0,0,0,130,325,1416,139,250,1900,1030,4640,130,425,0,5,186,47,1230,0,0,0,0,0,0,0,0
20/01/2023 0:00,58,6312,535,5248,8783,2291,260,138,135,610,1597,691,760,0,0,0,0,0,20,30,300,100,180,990,550,2878,0,802,0,10,0,0,660,320,0,0,0,0,0,0,0
21/01/2023 0:00,895,3285,589,2260,3205,3765,385,0,26,200,249,350,750,0,0,0,0,0,74,105,553,190,430,1239,780,3685,120,530,0,66,90,58,1800,110,0,0,0,0,26,0,0
22/01/2023 0:00,1447.5,5621,2216.67,5246.66,9452,5201.66,180,180,100,10,640,1095,1150,0,0,0,0,0,50,21,190,65,528,705,822,1790,285,390,0,105,25,44,1050,114,0,0,0,0,0,0,0
23/01/2023 0:00,457,5996,720,4518,10733,4953,253,215,90,116,1859,900,70,0,0,0,0,0,52,20,60,0,50,530,790,1580,200,605,0,66,0,0,415,0,0,0,0,0,0,0,0
24/01/2023 0:00,105,6349,776,5405,9030,4920,508,0,120,340,687,105,1005,0,0,0,0,0,60,56,205,95,301,820,885,3642,105,875,20,2,46,35,730,80,0,0,0,0,0,0,0
25/01/2023 0:00,670,6298,625,5820,9138,3907,480,138,370,350,788,600,768,0,0,0,0,0,120,100,130,90,80,1210,1120,4950,400,920,0,3,270,48,1328,18,0,0,0,0,0,0,0
26/01/2023 0:00,530,6313,595,6763,8742,4500,127,200,100,350,1140,560,238,0,0,0,0,0,103,90,530,140,440,595,612,1555,100,995,0,12,0,10,580,8,0,0,0,0,0,0,0
27/01/2023 0:00,350,4690,663,4990,5738,2005,0,240,50,65,1205,65,150,0,0,0,0,0,0,10,39,121,480,1080,585,1767,5,530,10,5,50,0,540,0,0,0,0,0,0,0,0
28/01/2023 0:00,625,3620,475,3435,5270,2375,0,50,50,159,811,835,70,0,0,0,0,0,113,193,334,180,100,455,385,2616,0,280,0,0,150,0,455,0,0,0,0,0,0,0,0
29/01/2023 0:00,365,6819,1646,6575,8046,2961,0,220,160,84,0,0,1885,0,0,0,0,0,10,10,35,4,280,710,350,715,50,250,30,17,40,0,180,60,0,0,0,0,0,0,0
30/01/2023 0:00,540,6104,335,3852,6196,2237,268,260,85,261,1620,474,252,0,0,0,0,0,45,75,200,0,790,1420,1460,3840,385,423,12,16,50,50,920,10,0,0,0,0,150,0,0
31/01/2023 0:00,95,5969,680,3692,5495,1566,751,400,400,650,1736,1195,915,0,0,0,0,0,0,5,23,25,0,990,1050,4620,100,850,0,92,100,20,1069,232,0,0,0,0,0,0,0
01/02/2023 0:00,350,1184,49,750,1026,520,355,0,125,300,340,185,0,0,0,0,0,0,10,0,30,20,0,1450,630,3813,120,850,0,47,30,0,687,45,0,0,0,0,0,0,0
02/02/2023 0:00,105,9365,2701,17625,15117,7043,1249,34,143.75,292,740,553,330,0,0,0,0,0,239.999,224,1146,874.686,1311.5,60,740,2125,250,710,0,19,200,0,566,115,0,0,0,0,0,0,0
03/02/2023 0:00,302,6511.25,1016,7656,9084,4151,612,10,278,266,1641,1000,250,0,0,0,0,0,30,250,499,325,205,330,50,2759,101,950,0,0,38,0,400,84,0,0,0,0,0,0,0
04/02/2023 0:00,830,8563,755,3756,8053,4827,85,19,120,350,1399,815,1770,0,0,0,0,0,80,176,512,470,100,230,505,1738,200,870,0,0,52,3,810,0,0,0,0,0,43,0,0
05/02/2023 0:00,2262,12455.5,1130,9393,13485,7649.333,77,154,569,950,2050,991,4629,0,0,0,0,0,95,255,638,660,390,340,500,840,200,160,0,0,0,5,100,184,0,0,0,0,0,0,0
06/02/2023 0:00,1715,11010,1227,6574,10910,2442,0,0,12,229,910,1130,1320,0,0,0,0,0,0,20,174,105,370,1060,600,3225,100,860,0,0,336,0,1018,0,0,0,0,0,0,0,0
07/02/2023 0:00,555,13308,1945,8014,14305,2310,0,0,88,530,2115,1924,1500,0,0,0,0,0,375,395,1029,447,445,1290,790,2305,300,100,0,0,25,44,570,20,0,0,0,0,0,0,0
08/02/2023 0:00,475,17131,1747,9217,13765.334,5086,0,0,180,460,1955,1385,640,0,0,0,0,0,334,100,458,255,500,1373,835,3670,110,510,0,0,358,70,593,196,0,0,0,0,0,0,0
09/02/2023 0:00,193,7892,1474,9484,7565,2477,0,0,838,1214,1680,1530,1431,0,0,0,0,0,20,53,186,105,265,550,355,1940,10,1070,0,3,50,0,265,204,0,0,0,0,0,0,0
