Date,SOS008L02P,SOS005L04P,SOS003L04P,SOS002L09P,SOS001L12P,SOS500M24P,SOS250M48P,SOP001L12P,POV005L04P,POV002L09P,POV001L24P,POV500M24P,POP001L12P,POP015K,SO0005L04P,SO0002L09P,SO0001L12P,SO0500M24P,POP005L04P,POP002L09P,POP001L12P.1,POP500M24P,POPF01L12P,AT5X5K,ATN02K12P,ATN01K24P,MAR02K12P,MAR01K24P,ATWWP002K12P,ATWWP001K24P,MASR025K,MAHS025K,SE500G24P,SE200G24P,ATPPCH5X5K,ATPA1K24P,MAPA1K24P,MAP1K25P,MAC1K25P,EEA500G12P,EEA200G24P
01/01/2023 0:00,1355,12594,1949,14556,21394,8552,1159,100,348,573,1829,1349,1250,0,0,0,0,0,83,228,703,429,780,2642,1819,5184,464,1607,100,42,96,25,1507,225,0,0,0,0,0,0,0
02/01/2023 0:00,338,11677,1842,13085,17059,7207,502,160,160,380,1277,559,1125,0,0,0,0,0,70,140,461,209,213,1070,1281,4345,310,999,15,37,21,0,602,109,0,0,0,0,0,0,0
03/01/2023 0:00,226,8551,1135,8573.107971,12178,4234,290,278,190,275,999,669,655,0,0,0,0,0,25,55,340,201,85,2355,736,5891.333,63,2004,11,51,35,0,1363,100,0,0,0,0,12,0,0
04/01/2023 0:00,223.5,10667.25,967,8487.11099,10920.08297,4046,485,58.41702899,236,438,1250,781,885,0,0,0,0,0,30,149,309,95,55,909.8,523,4698.958,65,760.875,50,49,46,2,756.667,130,0,0,0,0,25,0,0
05/01/2023 0:00,233,14864,1783,11923.11002,16931,6357,555,63,210,374,1112,851,1631,0,0,0,0,0,49,123,350,210,195,3504,930,3552,364,1129,0,18,244,37,1398,155,0,0,0,0,0,0,0
06/01/2023 0:00,0,0,0,0.110024155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/01/2023 0:00,15,3216,305,1582,1419,796,114,35,135,170,530,730,650,0,0,0,0,0,0,10,25,5,0,10,608,324,147,81,0,0,477,0,24,0,0,0,0,0,0,0,0
08/01/2023 0:00,1521,13298,1927,11858.11002,17243,7199,495,72,260,390,1082,547,1798,0,0,0,0,0,35,115,536,320,614,3322,1782,9714,137,2100,28,101,231,240,1553,97,0,0,0,0,0,0,0
09/01/2023 0:00,142,10586.5,1902,5833.666002,15628,6310,643,85,210,360,1390,830,3524,0,0,0,0,0,90,65,512,384,915,2254,925,6696,63,1099,6,80,34,0,1163,54,0,0,0,0,0,0,0
10/01/2023 0:00,292,7137,1241,3948.11099,13523,3580,457,152,257,95,812,590,180,0,0,0,0,0,41,54,415,233,46,2414,1791,7413,532,1236,150,95,95,30,1002,48,0,0,0,0,0,0,0
11/01/2023 0:00,633,7377.35,979,4874.555978,9036.666033,3487,199,70,188,241,879,527,433,0,0,0,0,0,15,55,105,68,80,1453,1771.166,4371,300,749,20,152,80,25,631,105,0,0,0,0,0,0,0
12/01/2023 0:00,240,12338.5,1567,6838.666002,16827.08297,4635,344,64,155,313,1200,969,1066,0,0,0,0,0,67,55,437,189,385,2020,1224,6371,161,785,0,104,50,24,1094,30,0,0,0,0,0,0,0
13/01/2023 0:00,0,0.5,0,0.110990338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
