,Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
0,01/01/2023 0:00,AT5X5K,43,121,168,1500,707.0,970,2642.0
1,02/01/2023 0:00,AT5X5K,43,121,168,1500,2317.0,1720,1070.0
2,03/01/2023 0:00,AT5X5K,43,121,168,2000,2215.6,2964,2355.0
3,04/01/2023 0:00,AT5X5K,43,121,168,2000,2439.0,2265,909.8
4,05/01/2023 0:00,AT5X5K,43,121,168,2000,735.8,1100,3504.0
5,06/01/2023 0:00,AT5X5K,43,121,168,1000,1147.0,1437,0.0
6,07/01/2023 0:00,AT5X5K,43,121,168,1500,1667.0,1672,10.0
7,08/01/2023 0:00,AT5X5K,43,121,168,1500,1225.0,1009,3322.0
8,09/01/2023 0:00,AT5X5K,43,121,168,1500,3501.94,3129,2254.0
9,10/01/2023 0:00,AT5X5K,43,121,168,2000,1559.0,1200,2414.0
10,11/01/2023 0:00,AT5X5K,43,121,168,2000,2590.0,2905,1453.0
11,12/01/2023 0:00,AT5X5K,43,121,168,2000,1824.0,2026,2020.0
12,13/01/2023 0:00,AT5X5K,43,121,168,2000,538.0,880,0.0
13,14/01/2023 0:00,AT5X5K,43,121,168,1500,1218.0,1040,338.6
14,15/01/2023 0:00,AT5X5K,43,121,168,1000,901.0,1110,2632.0
15,16/01/2023 0:00,AT5X5K,43,121,168,700,2454.0,2600,2303.0
16,17/01/2023 0:00,AT5X5K,43,121,168,1000,1990.0,1786,1746.0
17,18/01/2023 0:00,AT5X5K,43,121,168,2000,2063.6,1775,1697.0
18,19/01/2023 0:00,AT5X5K,43,121,168,2500,1751.0,1900,1457.0
19,20/01/2023 0:00,AT5X5K,43,121,168,3000,715.0,990,0.0
20,21/01/2023 0:00,AT5X5K,43,121,168,500,1231.0,1239,507.0
21,22/01/2023 0:00,AT5X5K,43,121,168,500,770.0,705,1161.0
22,23/01/2023 0:00,AT5X5K,43,121,168,500,847.4,530,1120.0
23,24/01/2023 0:00,AT5X5K,43,121,168,500,965.0,820,864.0
24,25/01/2023 0:00,AT5X5K,43,121,168,2000,839.0,1210,247.0
25,26/01/2023 0:00,AT5X5K,43,121,168,0,334.0,595,1211.0
26,27/01/2023 0:00,AT5X5K,43,121,168,0,837.0,1080,0.0
27,28/01/2023 0:00,AT5X5K,43,121,168,0,424.0,455,15.0
28,29/01/2023 0:00,AT5X5K,43,121,168,1500,1132.0,710,2444.0
29,30/01/2023 0:00,AT5X5K,43,121,168,1200,1406.0,1420,569.0
30,31/01/2023 0:00,AT5X5K,43,121,168,1200,767.0,990,2101.0
31,01/02/2023 0:00,AT5X5K,43,121,168,700,1593.0,1450,180.4
32,02/02/2023 0:00,AT5X5K,43,121,168,2000,197.0,60,307.0
33,03/02/2023 0:00,AT5X5K,43,121,168,2000,221.0,330,0.0
34,04/02/2023 0:00,AT5X5K,43,121,168,500,195.4,230,220.0
35,05/02/2023 0:00,AT5X5K,43,121,168,500,445.0,340,732.0
36,06/02/2023 0:00,AT5X5K,43,121,168,500,913.0,1060,1440.0
37,07/02/2023 0:00,AT5X5K,43,121,168,0,1370.0,1290,1082.0
38,08/02/2023 0:00,AT5X5K,43,121,168,0,742.0,1373,569.0
39,09/02/2023 0:00,AT5X5K,43,121,168,0,945.0,550,1862.0
40,10/02/2023 0:00,AT5X5K,43,121,168,1000,843.0,1650,0.0
41,11/02/2023 0:00,AT5X5K,43,121,168,1000,1170.0,730,1475.0
42,12/02/2023 0:00,AT5X5K,43,121,168,1000,1518.0,1675,1528.0
43,13/02/2023 0:00,AT5X5K,43,121,168,2000,735.0,650,1765.0
44,14/02/2023 0:00,AT5X5K,43,121,168,1500,1401.0,1303,3623.0
45,15/02/2023 0:00,AT5X5K,43,121,168,1500,1693.0,1726,1213.2
46,16/02/2023 0:00,AT5X5K,43,121,168,2500,1869.0,1860,334.8
47,17/02/2023 0:00,AT5X5K,43,121,168,2500,582.0,750,0.0
48,18/02/2023 0:00,AT5X5K,43,121,168,1000,906.0,780,11.0
49,19/02/2023 0:00,AT5X5K,43,121,168,1000,379.0,0,1097.0
50,20/02/2023 0:00,AT5X5K,43,121,168,1000,1234.0,920,2253.0
51,21/02/2023 0:00,AT5X5K,43,121,168,0,1058.0,960,0.0
52,22/02/2023 0:00,AT5X5K,43,121,168,1000,892.0,470,2434.0
53,23/02/2023 0:00,AT5X5K,43,121,168,1000,978.0,1190,365.0
54,24/02/2023 0:00,AT5X5K,43,121,168,1500,395.0,298,0.0
55,25/02/2023 0:00,AT5X5K,43,121,168,1000,582.0,450,8.0
56,26/02/2023 0:00,AT5X5K,43,121,168,1000,1100.0,1010,924.0
57,27/02/2023 0:00,AT5X5K,43,121,168,500,782.0,820,858.0
58,28/02/2023 0:00,AT5X5K,43,121,168,0,680.0,669,839.0
59,01/03/2023 0:00,AT5X5K,43,121,168,0,913.0,773,147.8
60,02/03/2023 0:00,AT5X5K,43,121,168,0,248.8,350,2989.0
61,03/03/2023 0:00,AT5X5K,43,121,168,0,423.0,670,0.0
62,04/03/2023 0:00,AT5X5K,43,121,168,0,631.0,500,35.0
63,05/03/2023 0:00,AT5X5K,43,121,168,0,162.0,10,1567.0
64,06/03/2023 0:00,AT5X5K,43,121,168,0,1883.0,1660,440.0
65,07/03/2023 0:00,AT5X5K,43,121,168,400,862.0,770,369.0
66,08/03/2023 0:00,AT5X5K,43,121,168,0,244.0,110,0.0
67,09/03/2023 0:00,AT5X5K,43,121,168,725,350.0,360,1276.0
68,10/03/2023 0:00,AT5X5K,43,121,168,500,355.0,225,0.0
69,11/03/2023 0:00,AT5X5K,43,121,168,0,568.0,525,186.8
70,12/03/2023 0:00,AT5X5K,43,121,168,500,438.0,152,690.0
71,13/03/2023 0:00,AT5X5K,43,121,168,0,622.8,581,325.0
72,14/03/2023 0:00,AT5X5K,43,121,168,0,597.0,370,403.0
73,15/03/2023 0:00,AT5X5K,43,121,168,500,477.0,340,50.0
74,16/03/2023 0:00,AT5X5K,43,121,168,500,125.0,0,127.4
75,17/03/2023 0:00,AT5X5K,43,121,168,300,128.4,90,0.0
76,18/03/2023 0:00,AT5X5K,43,121,168,0,1024.0,960,10.0
77,19/03/2023 0:00,AT5X5K,43,121,168,0,80.0,70,249.0
78,20/03/2023 0:00,AT5X5K,43,121,168,0,199.0,0,140.0
79,21/03/2023 0:00,AT5X5K,43,121,168,0,35.0,100,182.0
80,22/03/2023 0:00,AT5X5K,43,121,168,0,105.0,205,577.0
81,23/03/2023 0:00,AT5X5K,43,121,168,0,553.0,540,70.0
82,24/03/2023 0:00,AT5X5K,43,121,168,700,28.0,50,0.0
83,25/03/2023 0:00,AT5X5K,43,121,168,500,716.0,510,30.0
84,26/03/2023 0:00,AT5X5K,43,121,168,0,43.0,25,0.0
85,27/03/2023 0:00,AT5X5K,43,121,168,0,150.0,0,257.0
86,28/03/2023 0:00,AT5X5K,43,121,168,0,70.0,45,190.0
87,29/03/2023 0:00,AT5X5K,43,121,168,0,97.0,265,88.0
88,30/03/2023 0:00,AT5X5K,43,121,168,0,110.0,0,86.2
89,31/03/2023 0:00,AT5X5K,43,121,168,0,196.0,20,0.0
90,01/04/2023 0:00,AT5X5K,43,121,168,0,3.0,0,440.0
91,02/04/2023 0:00,AT5X5K,43,121,168,0,498.0,460,149.0
92,03/04/2023 0:00,AT5X5K,43,121,168,0,92.0,20,3573.0
93,04/04/2023 0:00,AT5X5K,43,121,168,1200,1135.2,1190,1386.0
94,05/04/2023 0:00,AT5X5K,43,121,168,1000,1286.0,1255,185.0
95,06/04/2023 0:00,AT5X5K,43,121,168,2000,266.0,170,716.0
96,07/04/2023 0:00,AT5X5K,43,121,168,1000,58.0,30,0.0
97,08/04/2023 0:00,AT5X5K,43,121,168,500,1203.76,1230,25.0
98,09/04/2023 0:00,AT5X5K,43,121,168,500,140.0,55,1105.4
99,10/04/2023 0:00,AT5X5K,43,121,168,1000,1475.0,1730,975.0
100,11/04/2023 0:00,AT5X5K,43,121,168,500,721.0,740,1567.0
101,12/04/2023 0:00,AT5X5K,43,121,168,2000,1394.0,1507,1114.0
102,13/04/2023 0:00,AT5X5K,43,121,168,1000,816.0,1320,1573.0
103,14/04/2023 0:00,AT5X5K,43,121,168,1000,1566.0,1257,0.0
104,15/04/2023 0:00,AT5X5K,43,121,168,500,484.0,590,285.0
105,16/04/2023 0:00,AT5X5K,43,121,168,500,1010.0,1060,4039.0
106,17/04/2023 0:00,AT5X5K,43,121,168,2000,2380.8,2367,2169.0
107,18/04/2023 0:00,AT5X5K,43,121,168,2500,1690.0,1335,2811.0
108,19/04/2023 0:00,AT5X5K,43,121,168,3000,2145.0,2531,630.0
109,20/04/2023 0:00,AT5X5K,43,121,168,2500,1371.0,1310,105.0
110,21/04/2023 0:00,AT5X5K,43,121,168,0,98.0,0,0.0
111,22/04/2023 0:00,AT5X5K,43,121,168,0,0.0,0,0.0
112,23/04/2023 0:00,AT5X5K,43,121,168,0,0.0,0,0.0
113,24/04/2023 0:00,AT5X5K,43,121,168,0,0.0,0,0.0
114,25/04/2023 0:00,AT5X5K,43,121,168,0,1078.2,1072,655.0
115,26/04/2023 0:00,AT5X5K,43,121,168,800,1007.8,685,1671.0
116,27/04/2023 0:00,AT5X5K,43,121,168,2000,1009.0,1774,1940.0
117,28/04/2023 0:00,AT5X5K,43,121,168,1500,2285.0,2257,0.0
118,29/04/2023 0:00,AT5X5K,43,121,168,500,1173.0,935,481.0
119,30/04/2023 0:00,AT5X5K,43,121,168,1000,1264.2,1076,1888.0
120,01/05/2023 0:00,AT5X5K,43,121,168,0,935.0,1045,0.0
121,02/05/2023 0:00,AT5X5K,43,121,168,1000,156.0,150,3075.0
122,03/05/2023 0:00,AT5X5K,43,121,168,2500,2830.0,3135,4517.8
123,04/05/2023 0:00,AT5X5K,43,121,168,3000,1945.0,1765,801.0
124,05/05/2023 0:00,AT5X5K,43,121,168,1000,1531.0,1655,0.0
125,06/05/2023 0:00,AT5X5K,43,121,168,2000,1037.0,1090,50.0
126,07/05/2023 0:00,AT5X5K,43,121,168,1600,821.0,545,4040.0
127,08/05/2023 0:00,AT5X5K,43,121,168,2500,1927.0,1601,3157.0
128,09/05/2023 0:00,AT5X5K,43,121,168,2000,2125.0,2630,1551.0
129,10/05/2023 0:00,AT5X5K,43,121,168,3500,963.0,1140,1853.0
130,11/05/2023 0:00,AT5X5K,43,121,168,2000,3953.0,4683,1382.0
131,12/05/2023 0:00,AT5X5K,43,121,168,1500,827.0,1070,0.0
132,13/05/2023 0:00,AT5X5K,43,121,168,1200,439.24,700,0.0
133,14/05/2023 0:00,AT5X5K,43,121,168,1000,818.0,662,1803.0
134,15/05/2023 0:00,AT5X5K,43,121,168,1000,2258.0,1692,756.0
135,16/05/2023 0:00,AT5X5K,43,121,168,1000,875.0,860,1186.0
136,17/05/2023 0:00,AT5X5K,43,121,168,500,1505.0,1680,887.2
137,18/05/2023 0:00,AT5X5K,43,121,168,500,777.2,610,1107.0
138,19/05/2023 0:00,AT5X5K,43,121,168,500,1032.0,1450,0.0
139,20/05/2023 0:00,AT5X5K,43,121,168,300,1209.0,487,10.0
140,21/05/2023 0:00,AT5X5K,43,121,168,300,183.0,105,673.0
141,22/05/2023 0:00,AT5X5K,43,121,168,200,505.0,400,826.0
142,23/05/2023 0:00,AT5X5K,43,121,168,500,706.0,826,181.0
143,24/05/2023 0:00,AT5X5K,43,121,168,0,331.0,180,487.0
144,25/05/2023 0:00,AT5X5K,43,121,168,300,235.0,400,1005.0
145,26/05/2023 0:00,AT5X5K,43,121,168,500,770.0,1090,0.0
146,27/05/2023 0:00,AT5X5K,43,121,168,500,480.0,480,295.0
147,28/05/2023 0:00,AT5X5K,43,121,168,700,230.0,0,754.0
148,29/05/2023 0:00,AT5X5K,43,121,168,800,929.0,700,540.0
149,30/05/2023 0:00,AT5X5K,43,121,168,800,330.0,20,480.0
150,31/05/2023 0:00,AT5X5K,43,121,168,500,460.0,510,14.6
151,01/06/2023 0:00,AT5X5K,43,121,168,58,120.0,170,240.0
152,02/06/2023 0:00,AT5X5K,43,121,168,500,180.0,0,0.0
153,03/06/2023 0:00,AT5X5K,43,121,168,0,16.0,0,50.0
154,04/06/2023 0:00,AT5X5K,43,121,168,500,180.0,103,516.0
155,05/06/2023 0:00,AT5X5K,43,121,168,700,305.0,370,231.0
156,06/06/2023 0:00,AT5X5K,43,121,168,0,248.0,260,565.0
157,07/06/2023 0:00,AT5X5K,43,121,168,0,544.0,0,1217.0
158,08/06/2023 0:00,AT5X5K,43,121,168,0,1151.0,0,1105.0
159,09/06/2023 0:00,AT5X5K,43,121,168,500,770.0,0,0.0
160,10/06/2023 0:00,AT5X5K,43,121,168,1000,383.0,464,0.0
161,11/06/2023 0:00,AT5X5K,43,121,168,700,70.0,10,296.0
162,12/06/2023 0:00,AT5X5K,43,121,168,500,426.0,80,405.0
163,13/06/2023 0:00,AT5X5K,43,121,168,0,226.0,95,35.0
164,14/06/2023 0:00,AT5X5K,43,121,168,0,245.0,20,1005.0
165,15/06/2023 0:00,AT5X5K,43,121,168,0,547.0,630,1189.0
166,16/06/2023 0:00,AT5X5K,43,121,168,2000,503.0,0,0.0
167,17/06/2023 0:00,AT5X5K,43,121,168,200,858.0,785,55.0
168,18/06/2023 0:00,AT5X5K,43,121,168,200,220.0,134,823.0
169,19/06/2023 0:00,AT5X5K,43,121,168,480,721.8,390,1062.0
170,20/06/2023 0:00,AT5X5K,43,121,168,700,766.0,590,700.0
171,21/06/2023 0:00,AT5X5K,43,121,168,700,758.0,852,725.0
172,22/06/2023 0:00,AT5X5K,43,121,168,500,732.0,1140,998.0
173,23/06/2023 0:00,AT5X5K,43,121,168,800,698.0,0,0.0
174,24/06/2023 0:00,AT5X5K,43,121,168,500,455.0,620,7.0
175,25/06/2023 0:00,AT5X5K,43,121,168,700,254.0,380,716.0
176,26/06/2023 0:00,AT5X5K,43,121,168,0,690.0,210,723.0
177,27/06/2023 0:00,AT5X5K,43,121,168,0,470.0,0,114.0
178,28/06/2023 0:00,AT5X5K,43,121,168,0,0.0,0,0.0
179,29/06/2023 0:00,AT5X5K,43,121,168,0,0.0,0,0.0
180,30/06/2023 0:00,AT5X5K,43,121,168,0,0.0,0,0.0
181,01/07/2023 0:00,AT5X5K,43,121,168,0,0.0,0,0.0
182,02/07/2023 0:00,AT5X5K,43,121,168,0,94.0,280,700.0
183,03/07/2023 0:00,AT5X5K,43,121,168,400,282.0,160,1531.0
184,04/07/2023 0:00,AT5X5K,43,121,168,800,1429.0,1500,928.0
185,05/07/2023 0:00,AT5X5K,43,121,168,1500,840.001,985,403.0
186,06/07/2023 0:00,AT5X5K,43,121,168,1500,220.999,500,1248.0
187,07/07/2023 0:00,AT5X5K,43,121,168,1000,494.0,730,0.0
188,08/07/2023 0:00,AT5X5K,43,121,168,0,1071.0,905,69.4
189,09/07/2023 0:00,AT5X5K,43,121,168,0,869.0,900,2103.0
190,10/07/2023 0:00,AT5X5K,43,121,168,1000,1415.4,1258,1189.0
191,11/07/2023 0:00,AT5X5K,43,121,168,1000,1067.2,1452,237.0
192,12/07/2023 0:00,AT5X5K,43,121,168,1000,469.0,735,507.0
193,13/07/2023 0:00,AT5X5K,43,121,168,800,512.0,310,1044.0
194,14/07/2023 0:00,AT5X5K,43,121,168,800,547.0,833,0.0
195,15/07/2023 0:00,AT5X5K,43,121,168,350,608.0,415,29.4
196,16/07/2023 0:00,AT5X5K,43,121,168,350,462.4,120,852.0
197,17/07/2023 0:00,AT5X5K,43,121,168,700,458.0,310,677.0
198,18/07/2023 0:00,AT5X5K,43,121,168,500,600.0,560,757.0
199,19/07/2023 0:00,AT5X5K,43,121,168,500,337.0,360,1382.0
200,20/07/2023 0:00,AT5X5K,43,121,168,500,1223.0,1270,1030.0
201,21/07/2023 0:00,AT5X5K,43,121,168,1000,523.0,560,0.0
202,22/07/2023 0:00,AT5X5K,43,121,168,500,466.0,645,0.0
203,23/07/2023 0:00,AT5X5K,43,121,168,500,727.0,680,2041.0
204,24/07/2023 0:00,AT5X5K,43,121,168,1000,1164.0,1383,2937.0
205,25/07/2023 0:00,AT5X5K,43,121,168,1500,1906.0,1641,1560.0
206,26/07/2023 0:00,AT5X5K,43,121,168,2000,1459.0,1455,501.0
207,27/07/2023 0:00,AT5X5K,43,121,168,1500,434.0,433,1417.0
208,28/07/2023 0:00,AT5X5K,43,121,168,2000,1730.0,1712,0.0
209,29/07/2023 0:00,AT5X5K,43,121,168,1500,604.0,1300,0.0
210,30/07/2023 0:00,AT5X5K,43,121,168,500,896.0,765,618.0
211,31/07/2023 0:00,AT5X5K,43,121,168,0,737.0,280,292.0
212,01/08/2023 0:00,AT5X5K,43,121,168,0,301.0,251,595.2
213,02/08/2023 0:00,AT5X5K,43,121,168,0,680.0,865,362.2
214,03/08/2023 0:00,AT5X5K,43,121,168,500,206.2,480,252.0
215,04/08/2023 0:00,AT5X5K,43,121,168,500,290.0,370,0.0
216,05/08/2023 0:00,AT5X5K,43,121,168,300,191.0,218,16.0
217,06/08/2023 0:00,AT5X5K,43,121,168,1,212.0,50,752.0
218,07/08/2023 0:00,AT5X5K,43,121,168,0,434.0,480,558.0
219,08/08/2023 0:00,AT5X5K,43,121,168,0,220.0,125,0.0
220,09/08/2023 0:00,AT5X5K,43,121,168,0,0.0,0,0.0
