,Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
0,01/01/2023 0:00,ATN02K12P,31,93,125,200,497.08,100.0,1819.0
1,02/01/2023 0:00,ATN02K12P,31,93,125,500,823.0,705.0,1281.0
2,03/01/2023 0:00,ATN02K12P,31,93,125,0,1166.25,1685.0,736.0
3,04/01/2023 0:00,ATN02K12P,31,93,125,1700,923.0,945.0,523.0
4,05/01/2023 0:00,ATN02K12P,31,93,125,1000,875.0,665.0,930.0
5,06/01/2023 0:00,ATN02K12P,31,93,125,800,348.0,250.0,0.0
6,07/01/2023 0:00,ATN02K12P,31,93,125,400,755.0,690.0,608.0
7,08/01/2023 0:00,ATN02K12P,31,93,125,0,897.0,720.0,1782.0
8,09/01/2023 0:00,ATN02K12P,31,93,125,1000,1527.0,1240.0,925.0
9,10/01/2023 0:00,ATN02K12P,31,93,125,1200,759.0,920.0,1791.0
10,11/01/2023 0:00,ATN02K12P,31,93,125,1000,1041.0,1875.0,1771.166
11,12/01/2023 0:00,ATN02K12P,31,93,125,1700,1272.0,1460.0,1224.0
12,13/01/2023 0:00,ATN02K12P,31,93,125,1500,86.0,30.0,0.0
13,14/01/2023 0:00,ATN02K12P,31,93,125,1000,850.0,235.0,378.25
14,15/01/2023 0:00,ATN02K12P,31,93,125,500,830.0,831.0,840.0
15,16/01/2023 0:00,ATN02K12P,31,93,125,500,1149.25,1540.0,2034.0
16,17/01/2023 0:00,ATN02K12P,31,93,125,0,2221.166,1286.0,1842.0
17,18/01/2023 0:00,ATN02K12P,31,93,125,1500,969.0,1149.0,417.0
18,19/01/2023 0:00,ATN02K12P,31,93,125,1500,494.0,1030.0,830.5
19,20/01/2023 0:00,ATN02K12P,31,93,125,2000,306.0,550.0,0.0
20,21/01/2023 0:00,ATN02K12P,31,93,125,1000,1094.5,780.0,250.0
21,22/01/2023 0:00,ATN02K12P,31,93,125,500,460.0,822.0,1007.25
22,23/01/2023 0:00,ATN02K12P,31,93,125,500,827.0,790.0,650.0
23,24/01/2023 0:00,ATN02K12P,31,93,125,0,856.0,885.0,726.0
24,25/01/2023 0:00,ATN02K12P,31,93,125,1000,907.0,1120.0,602.0
25,26/01/2023 0:00,ATN02K12P,31,93,125,0,771.0,612.0,1982.0
26,27/01/2023 0:00,ATN02K12P,31,93,125,388,575.0,585.0,0.0
27,28/01/2023 0:00,ATN02K12P,31,93,125,1200,663.0,385.0,277.0
28,29/01/2023 0:00,ATN02K12P,31,93,125,1200,270.0,350.0,1010.0
29,30/01/2023 0:00,ATN02K12P,31,93,125,1000,1596.0,1460.0,1386.5
30,31/01/2023 0:00,ATN02K12P,31,93,125,800,870.916,1050.0,1599.583
31,01/02/2023 0:00,ATN02K12P,31,93,125,1000,1070.0,630.0,311.75
32,02/02/2023 0:00,ATN02K12P,31,93,125,1500,152.0,740.0,531.0
33,03/02/2023 0:00,ATN02K12P,31,93,125,1000,261.0,50.0,0.0
34,04/02/2023 0:00,ATN02K12P,31,93,125,500,590.75,505.0,231.0
35,05/02/2023 0:00,ATN02K12P,31,93,125,500,568.0,500.0,616.0
36,06/02/2023 0:00,ATN02K12P,31,93,125,500,1026.0,600.0,801.0
37,07/02/2023 0:00,ATN02K12P,31,93,125,0,763.0,790.0,944.167
38,08/02/2023 0:00,ATN02K12P,31,93,125,0,1248.0,835.0,1002.0
39,09/02/2023 0:00,ATN02K12P,31,93,125,500,412.5,355.0,494.0
40,10/02/2023 0:00,ATN02K12P,31,93,125,1000,139.0,1110.0,0.0
41,11/02/2023 0:00,ATN02K12P,31,93,125,200,628.167,0.0,297.0
42,12/02/2023 0:00,ATN02K12P,31,93,125,100,736.0,1110.0,1060.0
43,13/02/2023 0:00,ATN02K12P,31,93,125,1500,851.0,790.0,658.0
44,14/02/2023 0:00,ATN02K12P,31,93,125,1000,651.0,843.0,742.0
45,15/02/2023 0:00,ATN02K12P,31,93,125,500,476.0,610.0,618.917
46,16/02/2023 0:00,ATN02K12P,31,93,125,0,734.0,1005.0,438.0
47,17/02/2023 0:00,ATN02K12P,31,93,125,1000,253.0,450.0,0.0
48,18/02/2023 0:00,ATN02K12P,31,93,125,1000,422.917,280.0,445.0
49,19/02/2023 0:00,ATN02K12P,31,93,125,1000,666.0,305.0,1224.0
50,20/02/2023 0:00,ATN02K12P,31,93,125,1500,895.0,440.0,1745.894667
51,21/02/2023 0:00,ATN02K12P,31,93,125,0,750.3953333,410.0,0.0
52,22/02/2023 0:00,ATN02K12P,31,93,125,500,769.0,1006.0,1385.292667
