,Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
0,01/01/2023 0:00,MAHS025K,6,19,10,48,0,43,25
1,02/01/2023 0:00,MAHS025K,6,19,10,0,0,0,0
2,03/01/2023 0:00,MAHS025K,6,19,10,0,18,5,0
3,04/01/2023 0:00,MAHS025K,6,19,10,0,17,0,2
4,05/01/2023 0:00,MAHS025K,6,19,10,0,15,0,37
5,06/01/2023 0:00,MAHS025K,6,19,10,0,0,0,0
6,07/01/2023 0:00,MAHS025K,6,19,10,56,0,0,0
7,08/01/2023 0:00,MAHS025K,6,19,10,0,0,34,240
8,09/01/2023 0:00,MAHS025K,6,19,10,0,47,22,0
9,10/01/2023 0:00,MAHS025K,6,19,10,200,130,130,30
10,11/01/2023 0:00,MAHS025K,6,19,10,0,7,3,25
11,12/01/2023 0:00,MAHS025K,6,19,10,68,0,124,24
12,13/01/2023 0:00,MAHS025K,6,19,10,0,0,0,0
13,14/01/2023 0:00,MAHS025K,6,19,10,0,104,0,0
14,15/01/2023 0:00,MAHS025K,6,19,10,0,25,0,175
15,16/01/2023 0:00,MAHS025K,6,19,10,150,0,10,10
16,17/01/2023 0:00,MAHS025K,6,19,10,0,150,150,17
17,18/01/2023 0:00,MAHS025K,6,19,10,0,0,0,20
18,19/01/2023 0:00,MAHS025K,6,19,10,99,45,47,50
19,20/01/2023 0:00,MAHS025K,6,19,10,0,0,0,0
20,21/01/2023 0:00,MAHS025K,6,19,10,86,12,58,0
21,22/01/2023 0:00,MAHS025K,6,19,10,0,0,44,18
22,23/01/2023 0:00,MAHS025K,6,19,10,0,30,0,80
23,24/01/2023 0:00,MAHS025K,6,19,10,0,77,35,2
24,25/01/2023 0:00,MAHS025K,6,19,10,59,10,48,0
25,26/01/2023 0:00,MAHS025K,6,19,10,11,20,10,0
26,27/01/2023 0:00,MAHS025K,6,19,10,150,0,0,0
27,28/01/2023 0:00,MAHS025K,6,19,10,0,50,0,0
28,29/01/2023 0:00,MAHS025K,6,19,10,18,8,0,31
29,30/01/2023 0:00,MAHS025K,6,19,10,32,0,50,10
30,31/01/2023 0:00,MAHS025K,6,19,10,6,15,20,0
31,01/02/2023 0:00,MAHS025K,6,19,10,0,11,0,0
32,02/02/2023 0:00,MAHS025K,6,19,10,0,0,0,5
33,03/02/2023 0:00,MAHS025K,6,19,10,50,5,0,0
34,04/02/2023 0:00,MAHS025K,6,19,10,0,0,3,0
35,05/02/2023 0:00,MAHS025K,6,19,10,0,39,5,25
36,06/02/2023 0:00,MAHS025K,6,19,10,2,0,0,20
37,07/02/2023 0:00,MAHS025K,6,19,10,100,0,44,75
38,08/02/2023 0:00,MAHS025K,6,19,10,0,70,70,0
39,09/02/2023 0:00,MAHS025K,6,19,10,0,25,0,118
40,10/02/2023 0:00,MAHS025K,6,19,10,0,0,0,0
41,11/02/2023 0:00,MAHS025K,6,19,10,120,69,50,20
42,12/02/2023 0:00,MAHS025K,6,19,10,0,8,19,10
43,13/02/2023 0:00,MAHS025K,6,19,10,0,0,30,5
44,14/02/2023 0:00,MAHS025K,6,19,10,0,19,6,0
45,15/02/2023 0:00,MAHS025K,6,19,10,0,5,0,26
46,16/02/2023 0:00,MAHS025K,6,19,10,0,29,0,10
47,17/02/2023 0:00,MAHS025K,6,19,10,50,0,58,0
48,18/02/2023 0:00,MAHS025K,6,19,10,0,1,10,0
49,19/02/2023 0:00,MAHS025K,6,19,10,13,27,0,87
50,20/02/2023 0:00,MAHS025K,6,19,10,100,80,90,105
51,21/02/2023 0:00,MAHS025K,6,19,10,0,5,0,0
52,22/02/2023 0:00,MAHS025K,6,19,10,50,120,100,11
53,23/02/2023 0:00,MAHS025K,6,19,10,48,1,25,15
54,24/02/2023 0:00,MAHS025K,6,19,10,0,0,10,0
55,25/02/2023 0:00,MAHS025K,6,19,10,0,25,10,20
56,26/02/2023 0:00,MAHS025K,6,19,10,0,20,0,10
57,27/02/2023 0:00,MAHS025K,6,19,10,0,0,0,5
58,28/02/2023 0:00,MAHS025K,6,19,10,0,0,0,25
59,01/03/2023 0:00,MAHS025K,6,19,10,0,0,0,24
60,02/03/2023 0:00,MAHS025K,6,19,10,0,0,0,20
61,03/03/2023 0:00,MAHS025K,6,19,10,50,3,3,0
62,04/03/2023 0:00,MAHS025K,6,19,10,0,0,0,0
63,05/03/2023 0:00,MAHS025K,6,19,10,15,0,30,25
64,06/03/2023 0:00,MAHS025K,6,19,10,0,20,35,10
65,07/03/2023 0:00,MAHS025K,6,19,10,0,5,0,65
66,08/03/2023 0:00,MAHS025K,6,19,10,0,25,0,0
67,09/03/2023 0:00,MAHS025K,6,19,10,200,45,109,65
68,10/03/2023 0:00,MAHS025K,6,19,10,0,61,41,0
69,11/03/2023 0:00,MAHS025K,6,19,10,0,24,20,0
70,12/03/2023 0:00,MAHS025K,6,19,10,0,35,0,7
71,13/03/2023 0:00,MAHS025K,6,19,10,0,2,20,0
72,14/03/2023 0:00,MAHS025K,6,19,10,0,20,0,200
73,15/03/2023 0:00,MAHS025K,6,19,10,0,0,0,0
74,16/03/2023 0:00,MAHS025K,6,19,10,500,0,500,200
75,17/03/2023 0:00,MAHS025K,6,19,10,200,0,0,0
76,18/03/2023 0:00,MAHS025K,6,19,10,79,200,221,0
77,19/03/2023 0:00,MAHS025K,6,19,10,127,246,181,10
78,20/03/2023 0:00,MAHS025K,6,19,10,0,0,0,0
79,21/03/2023 0:00,MAHS025K,6,19,10,0,0,0,40
80,22/03/2023 0:00,MAHS025K,6,19,10,0,0,0,0
81,23/03/2023 0:00,MAHS025K,6,19,10,40,0,50,15
82,24/03/2023 0:00,MAHS025K,6,19,10,0,0,0,0
