,Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
0,01/01/2023 0:00,MAR02K12P,8,22,42,100,99.0,0,464.0
1,02/01/2023 0:00,MAR02K12P,8,22,42,100,236.0,100,310.0
2,03/01/2023 0:00,MAR02K12P,8,22,42,0,173.583,140,63.0
3,04/01/2023 0:00,MAR02K12P,8,22,42,0,103.0,108,65.0
4,05/01/2023 0:00,MAR02K12P,8,22,42,0,176.0,300,364.0
5,06/01/2023 0:00,MAR02K12P,8,22,42,300,5.0,0,0.0
6,07/01/2023 0:00,MAR02K12P,8,22,42,7,247.0,230,147.0
7,08/01/2023 0:00,MAR02K12P,8,22,42,0,211.0,100,137.0
8,09/01/2023 0:00,MAR02K12P,8,22,42,500,162.0,241,63.0
9,10/01/2023 0:00,MAR02K12P,8,22,42,300,88.0,160,532.0
10,11/01/2023 0:00,MAR02K12P,8,22,42,300,263.0,170,300.0
11,12/01/2023 0:00,MAR02K12P,8,22,42,300,145.0,250,161.0
12,13/01/2023 0:00,MAR02K12P,8,22,42,300,30.0,0,0.0
13,14/01/2023 0:00,MAR02K12P,8,22,42,0,130.0,150,13.25
14,15/01/2023 0:00,MAR02K12P,8,22,42,0,64.0,0,47.0
15,16/01/2023 0:00,MAR02K12P,8,22,42,0,150.25,100,133.0
16,17/01/2023 0:00,MAR02K12P,8,22,42,0,202.0,400,536.0
17,18/01/2023 0:00,MAR02K12P,8,22,42,302,278.0,0,68.0
18,19/01/2023 0:00,MAR02K12P,8,22,42,500,92.0,130,153.0
19,20/01/2023 0:00,MAR02K12P,8,22,42,0,31.0,0,0.0
20,21/01/2023 0:00,MAR02K12P,8,22,42,0,87.0,120,46.0
21,22/01/2023 0:00,MAR02K12P,8,22,42,0,116.0,285,62.25
22,23/01/2023 0:00,MAR02K12P,8,22,42,0,182.0,200,131.0
23,24/01/2023 0:00,MAR02K12P,8,22,42,300,289.0,105,69.0
24,25/01/2023 0:00,MAR02K12P,8,22,42,700,109.0,400,55.0
25,26/01/2023 0:00,MAR02K12P,8,22,42,0,41.0,100,511.0
26,27/01/2023 0:00,MAR02K12P,8,22,42,0,10.0,5,0.0
27,28/01/2023 0:00,MAR02K12P,8,22,42,0,140.0,0,260.0
28,29/01/2023 0:00,MAR02K12P,8,22,42,0,112.0,50,92.0
29,30/01/2023 0:00,MAR02K12P,8,22,42,0,258.0,385,227.0
30,31/01/2023 0:00,MAR02K12P,8,22,42,0,165.916,100,370.583
31,01/02/2023 0:00,MAR02K12P,8,22,42,400,347.0,120,209.33
32,02/02/2023 0:00,MAR02K12P,8,22,42,0,57.0,250,72.0
33,03/02/2023 0:00,MAR02K12P,8,22,42,10,8.0,101,0.0
34,04/02/2023 0:00,MAR02K12P,8,22,42,0,210.33,200,110.0
35,05/02/2023 0:00,MAR02K12P,8,22,42,400,281.0,200,78.0
36,06/02/2023 0:00,MAR02K12P,8,22,42,300,194.0,100,61.0
37,07/02/2023 0:00,MAR02K12P,8,22,42,0,130.0,300,320.0
38,08/02/2023 0:00,MAR02K12P,8,22,42,300,242.0,110,46.0
39,09/02/2023 0:00,MAR02K12P,8,22,42,600,93.0,10,80.0
40,10/02/2023 0:00,MAR02K12P,8,22,42,0,20.0,100,0.0
41,11/02/2023 0:00,MAR02K12P,8,22,42,0,59.0,0,1.0
42,12/02/2023 0:00,MAR02K12P,8,22,42,0,96.0,100,155.0
43,13/02/2023 0:00,MAR02K12P,8,22,42,0,30.0,100,104.0
44,14/02/2023 0:00,MAR02K12P,8,22,42,0,146.0,335,15.0
45,15/02/2023 0:00,MAR02K12P,8,22,42,15,200.0,0,332.583
46,16/02/2023 0:00,MAR02K12P,8,22,42,0,169.0,30,155.083
47,17/02/2023 0:00,MAR02K12P,8,22,42,100,0.0,0,0.0
48,18/02/2023 0:00,MAR02K12P,8,22,42,0,41.583,200,160.0
49,19/02/2023 0:00,MAR02K12P,8,22,42,505,111.0,30,93.0
50,20/02/2023 0:00,MAR02K12P,8,22,42,500,128.0,100,151.0
51,21/02/2023 0:00,MAR02K12P,8,22,42,0,10.0,20,0.0
52,22/02/2023 0:00,MAR02K12P,8,22,42,0,162.0,100,569.0
53,23/02/2023 0:00,MAR02K12P,8,22,42,0,149.0,300,61.666
54,24/02/2023 0:00,MAR02K12P,8,22,42,0,15.0,2,0.0
55,25/02/2023 0:00,MAR02K12P,8,22,42,200,191.0,165,5.166
56,26/02/2023 0:00,MAR02K12P,8,22,42,200,114.0,0,50.0
57,27/02/2023 0:00,MAR02K12P,8,22,42,200,61.166,180,76.0
58,28/02/2023 0:00,MAR02K12P,8,22,42,0,28.833,0,513.833
59,01/03/2023 0:00,MAR02K12P,8,22,42,0,128.0,100,82.0
60,02/03/2023 0:00,MAR02K12P,8,22,42,0,69.0,0,35.0
61,03/03/2023 0:00,MAR02K12P,8,22,42,6,0.0,155,0.0
62,04/03/2023 0:00,MAR02K12P,8,22,42,0,122.0,120,486.0
63,05/03/2023 0:00,MAR02K12P,8,22,42,0,365.0,100,52.0
64,06/03/2023 0:00,MAR02K12P,8,22,42,0,145.0,280,177.0
65,07/03/2023 0:00,MAR02K12P,8,22,42,500,73.0,450,97.0
66,08/03/2023 0:00,MAR02K12P,8,22,42,0,5.0,104,0.0
67,09/03/2023 0:00,MAR02K12P,8,22,42,406,202.0,0,560.0
68,10/03/2023 0:00,MAR02K12P,8,22,42,0,38.0,0,0.0
69,11/03/2023 0:00,MAR02K12P,8,22,42,0,334.0,100,70.5
70,12/03/2023 0:00,MAR02K12P,8,22,42,0,131.0,310,113.0
71,13/03/2023 0:00,MAR02K12P,8,22,42,302,149.0,170,15.0
72,14/03/2023 0:00,MAR02K12P,8,22,42,200,101.0,120,42.0
73,15/03/2023 0:00,MAR02K12P,8,22,42,0,155.0,0,30.0
74,16/03/2023 0:00,MAR02K12P,8,22,42,199,150.0,250,173.0
75,17/03/2023 0:00,MAR02K12P,8,22,42,200,2.0,70,0.0
76,18/03/2023 0:00,MAR02K12P,8,22,42,0,138.0,300,86.0
77,19/03/2023 0:00,MAR02K12P,8,22,42,143,186.0,50,97.0
78,20/03/2023 0:00,MAR02K12P,8,22,42,100,50.0,0,421.0
79,21/03/2023 0:00,MAR02K12P,8,22,42,200,70.0,20,15.0
80,22/03/2023 0:00,MAR02K12P,8,22,42,206,77.0,50,25.0
81,23/03/2023 0:00,MAR02K12P,8,22,42,12,47.0,50,56.0
82,24/03/2023 0:00,MAR02K12P,8,22,42,0,0.0,0,0.0
83,25/03/2023 0:00,MAR02K12P,8,22,42,0,57.0,0,8.0
84,26/03/2023 0:00,MAR02K12P,8,22,42,0,15.0,0,0.0
85,27/03/2023 0:00,MAR02K12P,8,22,42,0,150.0,0,154.0
86,28/03/2023 0:00,MAR02K12P,8,22,42,0,39.0,200,17.0
87,29/03/2023 0:00,MAR02K12P,8,22,42,0,101.0,260,4.0
88,30/03/2023 0:00,MAR02K12P,8,22,42,0,87.333,100,88.663
89,31/03/2023 0:00,MAR02K12P,8,22,42,0,63.33,0,0.0
90,01/04/2023 0:00,MAR02K12P,8,22,42,150,39.0,100,134.0
91,02/04/2023 0:00,MAR02K12P,8,22,42,200,53.0,0,115.0
92,03/04/2023 0:00,MAR02K12P,8,22,42,0,9.0,0,232.0
93,04/04/2023 0:00,MAR02K12P,8,22,42,0,90.0,0,63.833
94,05/04/2023 0:00,MAR02K12P,8,22,42,200,55.0,20,106.0
95,06/04/2023 0:00,MAR02K12P,8,22,42,210,167.833,0,86.0
96,07/04/2023 0:00,MAR02K12P,8,22,42,0,10.0,25,0.0
97,08/04/2023 0:00,MAR02K12P,8,22,42,0,26.0,250,142.0
98,09/04/2023 0:00,MAR02K12P,8,22,42,0,120.0,130,129.666
99,10/04/2023 0:00,MAR02K12P,8,22,42,200,154.5,50,78.0
100,11/04/2023 0:00,MAR02K12P,8,22,42,0,165.0,204,213.0
101,12/04/2023 0:00,MAR02K12P,8,22,42,0,116.0,0,2.0
102,13/04/2023 0:00,MAR02K12P,8,22,42,300,48.0,200,407.0
103,14/04/2023 0:00,MAR02K12P,8,22,42,0,50.0,0,0.0
104,15/04/2023 0:00,MAR02K12P,8,22,42,300,57.0,250,25.0
105,16/04/2023 0:00,MAR02K12P,8,22,42,5,174.0,0,15.0
106,17/04/2023 0:00,MAR02K12P,8,22,42,0,134.0,200,104.0
107,18/04/2023 0:00,MAR02K12P,8,22,42,0,113.0,10,40.0
108,19/04/2023 0:00,MAR02K12P,8,22,42,103,74.0,60,305.0
109,20/04/2023 0:00,MAR02K12P,8,22,42,0,70.0,0,10.0
110,21/04/2023 0:00,MAR02K12P,8,22,42,0,0.0,0,0.0
111,22/04/2023 0:00,MAR02K12P,8,22,42,0,0.0,0,0.0
112,23/04/2023 0:00,MAR02K12P,8,22,42,0,0.0,0,0.0
113,24/04/2023 0:00,MAR02K12P,8,22,42,0,0.0,0,0.0
114,25/04/2023 0:00,MAR02K12P,8,22,42,0,0.0,50,0.0
115,26/04/2023 0:00,MAR02K12P,8,22,42,0,0.0,0,75.0
116,27/04/2023 0:00,MAR02K12P,8,22,42,0,69.0,175,161.167
117,28/04/2023 0:00,MAR02K12P,8,22,42,300,20.0,65,0.0
118,29/04/2023 0:00,MAR02K12P,8,22,42,100,159.167,105,258.0
119,30/04/2023 0:00,MAR02K12P,8,22,42,300,226.0,240,82.0
120,01/05/2023 0:00,MAR02K12P,8,22,42,0,1.0,21,0.0
121,02/05/2023 0:00,MAR02K12P,8,22,42,300,75.0,0,838.0
122,03/05/2023 0:00,MAR02K12P,8,22,42,304,132.0,215,47.0
123,04/05/2023 0:00,MAR02K12P,8,22,42,0,235.0,220,233.0
124,05/05/2023 0:00,MAR02K12P,8,22,42,0,0.0,30,0.0
125,06/05/2023 0:00,MAR02K12P,8,22,42,0,50.0,100,100.0
126,07/05/2023 0:00,MAR02K12P,8,22,42,0,180.0,250,127.0
127,08/05/2023 0:00,MAR02K12P,8,22,42,200,116.0,98,108.0
128,09/05/2023 0:00,MAR02K12P,8,22,42,100,110.0,200,305.0
129,10/05/2023 0:00,MAR02K12P,8,22,42,200,318.995,0,601.0
130,11/05/2023 0:00,MAR02K12P,8,22,42,304,163.0,65,15.0
131,12/05/2023 0:00,MAR02K12P,8,22,42,300,0.0,100,0.0
132,13/05/2023 0:00,MAR02K12P,8,22,42,0,133.0,400,81.0
133,14/05/2023 0:00,MAR02K12P,8,22,42,200,221.0,200,63.0
134,15/05/2023 0:00,MAR02K12P,8,22,42,397,67.0,50,205.0
135,16/05/2023 0:00,MAR02K12P,8,22,42,0,253.0,0,160.0
136,17/05/2023 0:00,MAR02K12P,8,22,42,0,160.0,255,76.0
137,18/05/2023 0:00,MAR02K12P,8,22,42,213,161.0,0,60.0
138,19/05/2023 0:00,MAR02K12P,8,22,42,0,0.0,290,0.0
139,20/05/2023 0:00,MAR02K12P,8,22,42,0,190.0,202,70.0
140,21/05/2023 0:00,MAR02K12P,8,22,42,0,41.0,50,66.0
141,22/05/2023 0:00,MAR02K12P,8,22,42,0,104.0,0,46.0
142,23/05/2023 0:00,MAR02K12P,8,22,42,800,80.0,50,13.0
143,24/05/2023 0:00,MAR02K12P,8,22,42,0,69.0,220,258.0
144,25/05/2023 0:00,MAR02K12P,8,22,42,0,147.0,10,98.0
145,26/05/2023 0:00,MAR02K12P,8,22,42,0,30.0,10,0.0
146,27/05/2023 0:00,MAR02K12P,8,22,42,0,152.0,0,210.0
147,28/05/2023 0:00,MAR02K12P,8,22,42,0,32.0,50,131.0
148,29/05/2023 0:00,MAR02K12P,8,22,42,0,68.0,150,211.166
149,30/05/2023 0:00,MAR02K12P,8,22,42,3,179.166,200,16.0
150,31/05/2023 0:00,MAR02K12P,8,22,42,300,98.0,100,34.617
151,01/06/2023 0:00,MAR02K12P,8,22,42,0,132.0,100,69.0
152,02/06/2023 0:00,MAR02K12P,8,22,42,0,2.917,0,0.0
153,03/06/2023 0:00,MAR02K12P,8,22,42,0,41.0,150,71.0
154,04/06/2023 0:00,MAR02K12P,8,22,42,200,76.0,0,130.0
155,05/06/2023 0:00,MAR02K12P,8,22,42,100,113.0,250,157.0
156,06/06/2023 0:00,MAR02K12P,8,22,42,0,148.0,30,138.0
157,07/06/2023 0:00,MAR02K12P,8,22,42,200,97.0,0,169.0
158,08/06/2023 0:00,MAR02K12P,8,22,42,200,194.0,0,113.0
159,09/06/2023 0:00,MAR02K12P,8,22,42,205,10.0,0,0.0
160,10/06/2023 0:00,MAR02K12P,8,22,42,0,203.0,300,454.0
