,Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
0,01/01/2023 0:00,MASR025K,14,28,24,0,120,0,96
1,02/01/2023 0:00,MASR025K,14,28,24,100,129,70,21
2,03/01/2023 0:00,MASR025K,14,28,24,0,26,160,35
3,04/01/2023 0:00,MASR025K,14,28,24,5,24,0,46
4,05/01/2023 0:00,MASR025K,14,28,24,0,62,30,244
5,06/01/2023 0:00,MASR025K,14,28,24,100,0,59,0
6,07/01/2023 0:00,MASR025K,14,28,24,45,60,100,477
7,08/01/2023 0:00,MASR025K,14,28,24,0,79,25,231
8,09/01/2023 0:00,MASR025K,14,28,24,114,124,50,34
9,10/01/2023 0:00,MASR025K,14,28,24,510,172,230,95
10,11/01/2023 0:00,MASR025K,14,28,24,300,256,175,80
11,12/01/2023 0:00,MASR025K,14,28,24,6,94,391,50
12,13/01/2023 0:00,MASR025K,14,28,24,0,55,10,0
13,14/01/2023 0:00,MASR025K,14,28,24,52,84,160,1050
14,15/01/2023 0:00,MASR025K,14,28,24,145,185,66,185
15,16/01/2023 0:00,MASR025K,14,28,24,300,15,86,315
16,17/01/2023 0:00,MASR025K,14,28,24,500,401,210,156
17,18/01/2023 0:00,MASR025K,14,28,24,43,111,270,125
18,19/01/2023 0:00,MASR025K,14,28,24,0,55,186,65
19,20/01/2023 0:00,MASR025K,14,28,24,0,0,0,0
20,21/01/2023 0:00,MASR025K,14,28,24,0,72,90,1
21,22/01/2023 0:00,MASR025K,14,28,24,0,21,25,10
22,23/01/2023 0:00,MASR025K,14,28,24,0,60,0,230
23,24/01/2023 0:00,MASR025K,14,28,24,0,250,46,40
24,25/01/2023 0:00,MASR025K,14,28,24,440,206,270,21
25,26/01/2023 0:00,MASR025K,14,28,24,6,0,0,0
26,27/01/2023 0:00,MASR025K,14,28,24,0,0,50,0
27,28/01/2023 0:00,MASR025K,14,28,24,0,46,150,150
28,29/01/2023 0:00,MASR025K,14,28,24,0,75,40,30
29,30/01/2023 0:00,MASR025K,14,28,24,13,60,50,54
30,31/01/2023 0:00,MASR025K,14,28,24,200,90,100,124
31,01/02/2023 0:00,MASR025K,14,28,24,0,80,30,105
32,02/02/2023 0:00,MASR025K,14,28,24,100,128,200,60
33,03/02/2023 0:00,MASR025K,14,28,24,70,0,38,0
34,04/02/2023 0:00,MASR025K,14,28,24,100,249,52,240
35,05/02/2023 0:00,MASR025K,14,28,24,100,120,0,105
36,06/02/2023 0:00,MASR025K,14,28,24,141,190,336,240
37,07/02/2023 0:00,MASR025K,14,28,24,201,265,25,49
38,08/02/2023 0:00,MASR025K,14,28,24,500,100,358,0
39,09/02/2023 0:00,MASR025K,14,28,24,0,69,50,11
40,10/02/2023 0:00,MASR025K,14,28,24,81,0,0,0
41,11/02/2023 0:00,MASR025K,14,28,24,0,101,0,4
42,12/02/2023 0:00,MASR025K,14,28,24,0,36,25,0
43,13/02/2023 0:00,MASR025K,14,28,24,0,0,110,0
44,14/02/2023 0:00,MASR025K,14,28,24,0,39,50,40
45,15/02/2023 0:00,MASR025K,14,28,24,0,87,40,580
46,16/02/2023 0:00,MASR025K,14,28,24,0,188,0,40
47,17/02/2023 0:00,MASR025K,14,28,24,300,0,300,0
48,18/02/2023 0:00,MASR025K,14,28,24,196,65,20,96
49,19/02/2023 0:00,MASR025K,14,28,24,0,284,90,255
50,20/02/2023 0:00,MASR025K,14,28,24,200,90,215,64
51,21/02/2023 0:00,MASR025K,14,28,24,0,35,10,0
52,22/02/2023 0:00,MASR025K,14,28,24,200,200,104,50
53,23/02/2023 0:00,MASR025K,14,28,24,110,5,150,20
54,24/02/2023 0:00,MASR025K,14,28,24,0,4,0,0
55,25/02/2023 0:00,MASR025K,14,28,24,200,196,170,354
56,26/02/2023 0:00,MASR025K,14,28,24,284,20,0,156
57,27/02/2023 0:00,MASR025K,14,28,24,200,310,420,120
58,28/02/2023 0:00,MASR025K,14,28,24,0,40,10,97
59,01/03/2023 0:00,MASR025K,14,28,24,0,257,100,3
60,02/03/2023 0:00,MASR025K,14,28,24,0,10,50,0
61,03/03/2023 0:00,MASR025K,14,28,24,200,0,103,0
62,04/03/2023 0:00,MASR025K,14,28,24,15,130,60,360
63,05/03/2023 0:00,MASR025K,14,28,24,0,40,25,5
64,06/03/2023 0:00,MASR025K,14,28,24,286,174,213,77
65,07/03/2023 0:00,MASR025K,14,28,24,0,142,5,3
66,08/03/2023 0:00,MASR025K,14,28,24,181,0,80,0
67,09/03/2023 0:00,MASR025K,14,28,24,0,77,3,5
68,10/03/2023 0:00,MASR025K,14,28,24,0,5,5,0
69,11/03/2023 0:00,MASR025K,14,28,24,113,15,200,10
70,12/03/2023 0:00,MASR025K,14,28,24,0,18,0,210
71,13/03/2023 0:00,MASR025K,14,28,24,0,80,0,0
72,14/03/2023 0:00,MASR025K,14,28,24,0,73,5,178
73,15/03/2023 0:00,MASR025K,14,28,24,100,98,73,107
74,16/03/2023 0:00,MASR025K,14,28,24,0,106,260,4
75,17/03/2023 0:00,MASR025K,14,28,24,0,0,0,0
76,18/03/2023 0:00,MASR025K,14,28,24,0,54,0,160
77,19/03/2023 0:00,MASR025K,14,28,24,2,45,15,285
78,20/03/2023 0:00,MASR025K,14,28,24,100,58,80,0
79,21/03/2023 0:00,MASR025K,14,28,24,70,0,80,0
