,Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
0,01/01/2023 0:00,POP001L12P,99,160,193,506,275.0,75.0,1250
1,02/01/2023 0:00,POP001L12P,99,160,193,1308,690.0,530.0,1125
2,03/01/2023 0:00,POP001L12P,99,160,193,0,483.0,916.0,655
3,04/01/2023 0:00,POP001L12P,99,160,193,1208,905.0,930.0,885
4,05/01/2023 0:00,POP001L12P,99,160,193,1033,1098.0,978.0,1631
5,06/01/2023 0:00,POP001L12P,99,160,193,238,430.0,315.0,0
6,07/01/2023 0:00,POP001L12P,99,160,193,800,924.0,950.0,650
7,08/01/2023 0:00,POP001L12P,99,160,193,1429,323.0,250.0,1798
8,09/01/2023 0:00,POP001L12P,99,160,193,544,742.0,515.0,3524
9,10/01/2023 0:00,POP001L12P,99,160,193,1500,1155.0,1500.0,180
10,11/01/2023 0:00,POP001L12P,99,160,193,832,1147.0,749.0,433
11,12/01/2023 0:00,POP001L12P,99,160,193,1755,1480.0,1620.0,1066
12,13/01/2023 0:00,POP001L12P,99,160,193,0,175.0,505.0,0
13,14/01/2023 0:00,POP001L12P,99,160,193,800,1399.0,1050.0,100
14,15/01/2023 0:00,POP001L12P,99,160,193,976,881.0,1292.0,2126
15,16/01/2023 0:00,POP001L12P,99,160,193,1400,791.0,474.0,455
16,17/01/2023 0:00,POP001L12P,99,160,193,1010,1065.0,983.0,101
17,18/01/2023 0:00,POP001L12P,99,160,193,721,665.0,700.0,1405
18,19/01/2023 0:00,POP001L12P,99,160,193,884,674.0,1063.0,640
19,20/01/2023 0:00,POP001L12P,99,160,193,0,640.0,760.0,0
20,21/01/2023 0:00,POP001L12P,99,160,193,0,930.0,750.0,25
21,22/01/2023 0:00,POP001L12P,99,160,193,1004,270.0,1150.0,1182
22,23/01/2023 0:00,POP001L12P,99,160,193,1003,839.0,70.0,1672
23,24/01/2023 0:00,POP001L12P,99,160,193,280,1174.0,1005.0,1634
24,25/01/2023 0:00,POP001L12P,99,160,193,1228,1150.0,768.0,597
25,26/01/2023 0:00,POP001L12P,99,160,193,850,240.0,238.0,1685
26,27/01/2023 0:00,POP001L12P,99,160,193,0,50.0,150.0,0
27,28/01/2023 0:00,POP001L12P,99,160,193,500,226.0,70.0,200
28,29/01/2023 0:00,POP001L12P,99,160,193,731,1165.0,1885.0,2176
29,30/01/2023 0:00,POP001L12P,99,160,193,957,453.0,252.0,2665
30,31/01/2023 0:00,POP001L12P,99,160,193,1260,1516.0,915.0,1134
31,01/02/2023 0:00,POP001L12P,99,160,193,0,0.0,0.0,12016
32,02/02/2023 0:00,POP001L12P,99,160,193,3134,330.0,330.0,2191
33,03/02/2023 0:00,POP001L12P,99,160,193,381,250.0,250.0,0
34,04/02/2023 0:00,POP001L12P,99,160,193,1002,1773.841941,1770.0,450
35,05/02/2023 0:00,POP001L12P,99,160,193,1000,1450.0,4629.0,2065
36,06/02/2023 0:00,POP001L12P,99,160,193,1058,1308.0,1320.0,456
37,07/02/2023 0:00,POP001L12P,99,160,193,88,1400.0,1500.0,327
38,08/02/2023 0:00,POP001L12P,99,160,193,0,640.0,640.0,694
39,09/02/2023 0:00,POP001L12P,99,160,193,200,1481.0,1431.0,1160
40,10/02/2023 0:00,POP001L12P,99,160,193,400,49.0,49.0,0
41,11/02/2023 0:00,POP001L12P,99,160,193,900,50.0,0.0,55
42,12/02/2023 0:00,POP001L12P,99,160,193,1780,420.0,400.0,2513
43,13/02/2023 0:00,POP001L12P,99,160,193,60,205.0,205.0,1046
44,14/02/2023 0:00,POP001L12P,99,160,193,640,370.0,370.0,1975
45,15/02/2023 0:00,POP001L12P,99,160,193,760,1225.0,1225.0,335
46,16/02/2023 0:00,POP001L12P,99,160,193,2000,406.0,556.0,705
47,17/02/2023 0:00,POP001L12P,99,160,193,592,325.0,875.0,0
48,18/02/2023 0:00,POP001L12P,99,160,193,671,251.157967,0.0,0
49,19/02/2023 0:00,POP001L12P,99,160,193,157,1442.0,1601.0,150
50,20/02/2023 0:00,POP001L12P,99,160,193,0,885.0,550.0,90
51,21/02/2023 0:00,POP001L12P,99,160,193,0,1236.0,1650.0,0
52,22/02/2023 0:00,POP001L12P,99,160,193,0,868.0,500.0,219
53,23/02/2023 0:00,POP001L12P,99,160,193,1500,251.0,520.0,352
54,24/02/2023 0:00,POP001L12P,99,160,193,520,329.0,79.0,0
55,25/02/2023 0:00,POP001L12P,99,160,193,718,167.0,10.0,100
56,26/02/2023 0:00,POP001L12P,99,160,193,1500,808.0,713.0,2341
