,Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
0,01/01/2023 0:00,POP500M24P,83,142,114,0,82,0.0,429
1,02/01/2023 0:00,POP500M24P,83,142,114,401,129,390.0,209
2,03/01/2023 0:00,POP500M24P,83,142,114,300,281,50.0,201
3,04/01/2023 0:00,POP500M24P,83,142,114,205,283,162.0,95
4,05/01/2023 0:00,POP500M24P,83,142,114,101,51,275.0,210
5,06/01/2023 0:00,POP500M24P,83,142,114,0,115,70.0,0
6,07/01/2023 0:00,POP500M24P,83,142,114,306,96,130.0,5
7,08/01/2023 0:00,POP500M24P,83,142,114,0,119,25.0,320
8,09/01/2023 0:00,POP500M24P,83,142,114,0,90,65.0,384
9,10/01/2023 0:00,POP500M24P,83,142,114,0,125,213.0,233
10,11/01/2023 0:00,POP500M24P,83,142,114,955,272,672.0,68
11,12/01/2023 0:00,POP500M24P,83,142,114,0,260,153.0,189
12,13/01/2023 0:00,POP500M24P,83,142,114,0,14,0.0,0
13,14/01/2023 0:00,POP500M24P,83,142,114,104,230,30.0,25
14,15/01/2023 0:00,POP500M24P,83,142,114,0,125,50.0,288
15,16/01/2023 0:00,POP500M24P,83,142,114,100,114,110.0,280
16,17/01/2023 0:00,POP500M24P,83,142,114,301,370,248.0,295
17,18/01/2023 0:00,POP500M24P,83,142,114,0,115,120.0,135
18,19/01/2023 0:00,POP500M24P,83,142,114,0,100,139.0,228
19,20/01/2023 0:00,POP500M24P,83,142,114,714,55,100.0,0
20,21/01/2023 0:00,POP500M24P,83,142,114,202,165,190.0,0
21,22/01/2023 0:00,POP500M24P,83,142,114,110,74,65.0,70
22,23/01/2023 0:00,POP500M24P,83,142,114,0,134,0.0,127
23,24/01/2023 0:00,POP500M24P,83,142,114,0,87,95.0,121
24,25/01/2023 0:00,POP500M24P,83,142,114,0,30,90.0,143
25,26/01/2023 0:00,POP500M24P,83,142,114,301,201,140.0,224
26,27/01/2023 0:00,POP500M24P,83,142,114,0,100,121.0,0
27,28/01/2023 0:00,POP500M24P,83,142,114,0,37,180.0,0
28,29/01/2023 0:00,POP500M24P,83,142,114,404,68,4.0,240
29,30/01/2023 0:00,POP500M24P,83,142,114,0,22,0.0,234
30,31/01/2023 0:00,POP500M24P,83,142,114,0,24,25.0,80
31,01/02/2023 0:00,POP500M24P,83,142,114,0,67,20.0,633
32,02/02/2023 0:00,POP500M24P,83,142,114,510,170,874.686,1081
33,03/02/2023 0:00,POP500M24P,83,142,114,303,305,325.0,0
34,04/02/2023 0:00,POP500M24P,83,142,114,0,222,470.0,51
35,05/02/2023 0:00,POP500M24P,83,142,114,1020,508,660.0,782
36,06/02/2023 0:00,POP500M24P,83,142,114,502,252,105.0,415
37,07/02/2023 0:00,POP500M24P,83,142,114,0,445,447.0,212
38,08/02/2023 0:00,POP500M24P,83,142,114,0,253,255.0,316
39,09/02/2023 0:00,POP500M24P,83,142,114,1002,244,105.0,534
40,10/02/2023 0:00,POP500M24P,83,142,114,379,150,150.0,0
41,11/02/2023 0:00,POP500M24P,83,142,114,300,210,490.0,5
42,12/02/2023 0:00,POP500M24P,83,142,114,501,195,757.0,334
43,13/02/2023 0:00,POP500M24P,83,142,114,0,557,196.0,531
44,14/02/2023 0:00,POP500M24P,83,142,114,606,289,214.0,470
45,15/02/2023 0:00,POP500M24P,83,142,114,0,245,35.0,114
46,16/02/2023 0:00,POP500M24P,83,142,114,503,573,395.0,382
47,17/02/2023 0:00,POP500M24P,83,142,114,500,454,434.0,0
48,18/02/2023 0:00,POP500M24P,83,142,114,0,276,230.0,0
49,19/02/2023 0:00,POP500M24P,83,142,114,614,305,265.0,140
50,20/02/2023 0:00,POP500M24P,83,142,114,301,110,136.0,174
51,21/02/2023 0:00,POP500M24P,83,142,114,0,40,85.0,0
52,22/02/2023 0:00,POP500M24P,83,142,114,0,145,335.0,408
53,23/02/2023 0:00,POP500M24P,83,142,114,0,127,627.0,195
54,24/02/2023 0:00,POP500M24P,83,142,114,0,210,85.0,0
55,25/02/2023 0:00,POP500M24P,83,142,114,0,567,50.0,0
56,26/02/2023 0:00,POP500M24P,83,142,114,701,235,195.0,475
57,27/02/2023 0:00,POP500M24P,83,142,114,0,270,330.0,171
