,Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
0,01/01/2023 0:00,POPF01L12P,23,36,36,200,10.0,152.0,780
1,02/01/2023 0:00,POPF01L12P,23,36,36,114,298.0,250.0,213
2,03/01/2023 0:00,POPF01L12P,23,36,36,0,75.0,64.0,85
3,04/01/2023 0:00,POPF01L12P,23,36,36,260,110.0,200.0,55
4,05/01/2023 0:00,POPF01L12P,23,36,36,54,24.0,160.0,195
5,06/01/2023 0:00,POPF01L12P,23,36,36,0,78.0,0.0,0
6,07/01/2023 0:00,POPF01L12P,23,36,36,0,660.0,540.0,0
7,08/01/2023 0:00,POPF01L12P,23,36,36,0,115.0,50.0,614
8,09/01/2023 0:00,POPF01L12P,23,36,36,0,67.0,0.0,915
9,10/01/2023 0:00,POPF01L12P,23,36,36,0,50.0,50.0,46
10,11/01/2023 0:00,POPF01L12P,23,36,36,493,21.0,0.0,80
11,12/01/2023 0:00,POPF01L12P,23,36,36,0,0.0,0.0,385
12,13/01/2023 0:00,POPF01L12P,23,36,36,0,400.0,410.0,0
13,14/01/2023 0:00,POPF01L12P,23,36,36,2,222.0,222.0,15
14,15/01/2023 0:00,POPF01L12P,23,36,36,500,10.0,0.0,579
15,16/01/2023 0:00,POPF01L12P,23,36,36,413,75.0,75.0,245
16,17/01/2023 0:00,POPF01L12P,23,36,36,377,200.0,200.0,50
17,18/01/2023 0:00,POPF01L12P,23,36,36,670,600.0,650.0,385
18,19/01/2023 0:00,POPF01L12P,23,36,36,280,250.0,250.0,315
19,20/01/2023 0:00,POPF01L12P,23,36,36,360,0.0,180.0,0
20,21/01/2023 0:00,POPF01L12P,23,36,36,419,105.0,430.0,0
21,22/01/2023 0:00,POPF01L12P,23,36,36,112,468.0,528.0,115
22,23/01/2023 0:00,POPF01L12P,23,36,36,600,354.0,50.0,270
23,24/01/2023 0:00,POPF01L12P,23,36,36,427,360.0,301.0,405
24,25/01/2023 0:00,POPF01L12P,23,36,36,125,75.0,80.0,15
25,26/01/2023 0:00,POPF01L12P,23,36,36,67,540.0,440.0,1420
26,27/01/2023 0:00,POPF01L12P,23,36,36,0,502.0,480.0,0
27,28/01/2023 0:00,POPF01L12P,23,36,36,514,205.0,100.0,15
28,29/01/2023 0:00,POPF01L12P,23,36,36,501,234.0,280.0,335
29,30/01/2023 0:00,POPF01L12P,23,36,36,500,720.0,790.0,239
30,31/01/2023 0:00,POPF01L12P,23,36,36,265,100.0,0.0,20
31,01/02/2023 0:00,POPF01L12P,23,36,36,0,35.0,0.0,795
32,02/02/2023 0:00,POPF01L12P,23,36,36,505,16.0,1311.5,1119
33,03/02/2023 0:00,POPF01L12P,23,36,36,0,205.0,205.0,0
34,04/02/2023 0:00,POPF01L12P,23,36,36,400,100.0,100.0,5
35,05/02/2023 0:00,POPF01L12P,23,36,36,524,390.0,390.0,1013
36,06/02/2023 0:00,POPF01L12P,23,36,36,502,370.0,370.0,1195
37,07/02/2023 0:00,POPF01L12P,23,36,36,1072,10.0,445.0,106
38,08/02/2023 0:00,POPF01L12P,23,36,36,657,709.0,500.0,349
39,09/02/2023 0:00,POPF01L12P,23,36,36,0,288.0,265.0,775
