,Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
0,01/01/2023 0:00,POV005L04P,38,66,64,0,72,100.0,348
1,02/01/2023 0:00,POV005L04P,38,66,64,154,85,88.0,160
2,03/01/2023 0:00,POV005L04P,38,66,64,0,270,195.0,190
3,04/01/2023 0:00,POV005L04P,38,66,64,0,155,160.0,236
4,05/01/2023 0:00,POV005L04P,38,66,64,500,151,195.0,210
5,06/01/2023 0:00,POV005L04P,38,66,64,0,175,135.0,0
6,07/01/2023 0:00,POV005L04P,38,66,64,0,169,100.0,135
7,08/01/2023 0:00,POV005L04P,38,66,64,401,110,99.0,260
8,09/01/2023 0:00,POV005L04P,38,66,64,0,178,325.0,210
9,10/01/2023 0:00,POV005L04P,38,66,64,301,125,80.0,257
10,11/01/2023 0:00,POV005L04P,38,66,64,604,317,310.0,188
11,12/01/2023 0:00,POV005L04P,38,66,64,0,202,289.0,155
12,13/01/2023 0:00,POV005L04P,38,66,64,0,90,190.0,0
13,14/01/2023 0:00,POV005L04P,38,66,64,302,103,40.0,25
14,15/01/2023 0:00,POV005L04P,38,66,64,0,118,105.0,301
15,16/01/2023 0:00,POV005L04P,38,66,64,0,279,270.0,125
16,17/01/2023 0:00,POV005L04P,38,66,64,303,133,100.0,250
17,18/01/2023 0:00,POV005L04P,38,66,64,401,273,225.0,300
18,19/01/2023 0:00,POV005L04P,38,66,64,0,285,335.0,206
19,20/01/2023 0:00,POV005L04P,38,66,64,350,185,135.0,0
20,21/01/2023 0:00,POV005L04P,38,66,64,0,94,26.0,10
21,22/01/2023 0:00,POV005L04P,38,66,64,0,60,100.0,272
22,23/01/2023 0:00,POV005L04P,38,66,64,0,107,90.0,240
23,24/01/2023 0:00,POV005L04P,38,66,64,700,50,120.0,55
24,25/01/2023 0:00,POV005L04P,38,66,64,200,223,370.0,120
25,26/01/2023 0:00,POV005L04P,38,66,64,0,104,100.0,165
26,27/01/2023 0:00,POV005L04P,38,66,64,0,65,50.0,0
27,28/01/2023 0:00,POV005L04P,38,66,64,0,165,50.0,85
28,29/01/2023 0:00,POV005L04P,38,66,64,0,118,160.0,282
29,30/01/2023 0:00,POV005L04P,38,66,64,300,90,85.0,315
30,31/01/2023 0:00,POV005L04P,38,66,64,300,545,400.0,212
31,01/02/2023 0:00,POV005L04P,38,66,64,0,149,125.0,893
32,02/02/2023 0:00,POV005L04P,38,66,64,400,204,143.75,241
33,03/02/2023 0:00,POV005L04P,38,66,64,602,288,278.0,0
34,04/02/2023 0:00,POV005L04P,38,66,64,0,55,120.0,337
35,05/02/2023 0:00,POV005L04P,38,66,64,42,337,569.0,494
36,06/02/2023 0:00,POV005L04P,38,66,64,0,201,12.0,300
37,07/02/2023 0:00,POV005L04P,38,66,64,1200,140,88.0,157
38,08/02/2023 0:00,POV005L04P,38,66,64,806,95,180.0,281
39,09/02/2023 0:00,POV005L04P,38,66,64,0,216,838.0,485
40,10/02/2023 0:00,POV005L04P,38,66,64,0,295,545.0,0
41,11/02/2023 0:00,POV005L04P,38,66,64,0,656,270.0,180
42,12/02/2023 0:00,POV005L04P,38,66,64,500,218,315.0,704
43,13/02/2023 0:00,POV005L04P,38,66,64,302,597,320.0,501
44,14/02/2023 0:00,POV005L04P,38,66,64,900,310,276.0,137
45,15/02/2023 0:00,POV005L04P,38,66,64,1000,247,310.0,217
46,16/02/2023 0:00,POV005L04P,38,66,64,702,285,415.0,220
47,17/02/2023 0:00,POV005L04P,38,66,64,0,145,180.0,0
48,18/02/2023 0:00,POV005L04P,38,66,64,0,315,120.0,40
49,19/02/2023 0:00,POV005L04P,38,66,64,0,421,407.0,300
