,Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
0,01/01/2023 0:00,POV500M24P,74,122,152,205,414,245.0,1349
1,02/01/2023 0:00,POV500M24P,74,122,152,603,1111,1037.0,559
2,03/01/2023 0:00,POV500M24P,74,122,152,900,442,530.0,669
3,04/01/2023 0:00,POV500M24P,74,122,152,402,440,525.0,781
4,05/01/2023 0:00,POV500M24P,74,122,152,902,904,860.0,851
5,06/01/2023 0:00,POV500M24P,74,122,152,311,430,778.0,0
6,07/01/2023 0:00,POV500M24P,74,122,152,1007,480,190.0,730
7,08/01/2023 0:00,POV500M24P,74,122,152,0,548,643.0,547
8,09/01/2023 0:00,POV500M24P,74,122,152,0,500,220.0,830
9,10/01/2023 0:00,POV500M24P,74,122,152,1500,344,249.0,590
10,11/01/2023 0:00,POV500M24P,74,122,152,1505,686,960.0,527
11,12/01/2023 0:00,POV500M24P,74,122,152,0,912,1150.0,969
12,13/01/2023 0:00,POV500M24P,74,122,152,0,476,524.0,0
13,14/01/2023 0:00,POV500M24P,74,122,152,1205,329,80.0,79
14,15/01/2023 0:00,POV500M24P,74,122,152,0,245,620.0,1558
15,16/01/2023 0:00,POV500M24P,74,122,152,306,1015,1235.0,503
16,17/01/2023 0:00,POV500M24P,74,122,152,1508,821,430.0,300
17,18/01/2023 0:00,POV500M24P,74,122,152,0,788,805.0,670
18,19/01/2023 0:00,POV500M24P,74,122,152,3,466,361.0,1078
19,20/01/2023 0:00,POV500M24P,74,122,152,1203,865,691.0,0
20,21/01/2023 0:00,POV500M24P,74,122,152,800,610,350.0,0
21,22/01/2023 0:00,POV500M24P,74,122,152,500,218,1095.0,1269
22,23/01/2023 0:00,POV500M24P,74,122,152,805,829,900.0,753
23,24/01/2023 0:00,POV500M24P,74,122,152,1106,246,105.0,103
24,25/01/2023 0:00,POV500M24P,74,122,152,0,591,600.0,640
25,26/01/2023 0:00,POV500M24P,74,122,152,809,627,560.0,1145
26,27/01/2023 0:00,POV500M24P,74,122,152,0,144,65.0,0
27,28/01/2023 0:00,POV500M24P,74,122,152,0,1313,835.0,210
28,29/01/2023 0:00,POV500M24P,74,122,152,1602,288,0.0,1017
29,30/01/2023 0:00,POV500M24P,74,122,152,0,238,474.0,1097
30,31/01/2023 0:00,POV500M24P,74,122,152,337,1485,1195.0,714
31,01/02/2023 0:00,POV500M24P,74,122,152,0,270,185.0,3399
32,02/02/2023 0:00,POV500M24P,74,122,152,2401,600,553.0,1919
33,03/02/2023 0:00,POV500M24P,74,122,152,1002,1010,1000.0,0
34,04/02/2023 0:00,POV500M24P,74,122,152,500,675,815.0,360
35,05/02/2023 0:00,POV500M24P,74,122,152,2019,1147,991.0,2039
36,06/02/2023 0:00,POV500M24P,74,122,152,2537,334,1130.0,1170
37,07/02/2023 0:00,POV500M24P,74,122,152,1416,1753,1924.0,881
38,08/02/2023 0:00,POV500M24P,74,122,152,625,634,1385.0,883
39,09/02/2023 0:00,POV500M24P,74,122,152,1000,1530,1530.0,1343
40,10/02/2023 0:00,POV500M24P,74,122,152,1008,730,525.0,0
41,11/02/2023 0:00,POV500M24P,74,122,152,500,1458,664.0,101
42,12/02/2023 0:00,POV500M24P,74,122,152,1507,1027,2298.0,2676
43,13/02/2023 0:00,POV500M24P,74,122,152,500,1968,1613.0,2016
44,14/02/2023 0:00,POV500M24P,74,122,152,3001,2095,2415.0,1013
45,15/02/2023 0:00,POV500M24P,74,122,152,0,1035,830.0,742
46,16/02/2023 0:00,POV500M24P,74,122,152,1039,1223,902.0,978
47,17/02/2023 0:00,POV500M24P,74,122,152,967,168,199.0,0
48,18/02/2023 0:00,POV500M24P,74,122,152,1009,807,609.0,90
49,19/02/2023 0:00,POV500M24P,74,122,152,2001,754,792.0,1078
50,20/02/2023 0:00,POV500M24P,74,122,152,1015,945,1080.0,1288
51,21/02/2023 0:00,POV500M24P,74,122,152,0,847,380.0,0
52,22/02/2023 0:00,POV500M24P,74,122,152,2016,1055,900.0,975
53,23/02/2023 0:00,POV500M24P,74,122,152,0,786,910.0,1106
54,24/02/2023 0:00,POV500M24P,74,122,152,0,1099,1620.0,0
55,25/02/2023 0:00,POV500M24P,74,122,152,0,809,275.0,120
56,26/02/2023 0:00,POV500M24P,74,122,152,2309,511,510.0,1674
57,27/02/2023 0:00,POV500M24P,74,122,152,1552,1161,1030.824,683
58,28/02/2023 0:00,POV500M24P,74,122,152,0,761,1415.0,706
59,01/03/2023 0:00,POV500M24P,74,122,152,805,444,400.0,2255
60,02/03/2023 0:00,POV500M24P,74,122,152,1000,1179,1589.0,1438
61,03/03/2023 0:00,POV500M24P,74,122,152,1578,955,1075.0,0
62,04/03/2023 0:00,POV500M24P,74,122,152,1000,1481,761.0,162
63,05/03/2023 0:00,POV500M24P,74,122,152,1510,606,816.0,2330
64,06/03/2023 0:00,POV500M24P,74,122,152,0,1080,920.0,1956
