,Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
0,01/01/2023 0:00,SE500G24P,50,154,204,1000,160.0,1341.0,1507.0
1,02/01/2023 0:00,SE500G24P,50,154,204,300,980.0,427.0,602.0
2,03/01/2023 0:00,SE500G24P,50,154,204,300,854.5,435.0,1363.0
3,04/01/2023 0:00,SE500G24P,50,154,204,100,583.0,300.0,756.667
4,05/01/2023 0:00,SE500G24P,50,154,204,1000,347.667,645.0,1398.0
5,06/01/2023 0:00,SE500G24P,50,154,204,400,230.0,555.0,0.0
6,07/01/2023 0:00,SE500G24P,50,154,204,400,863.0,100.0,24.0
7,08/01/2023 0:00,SE500G24P,50,154,204,500,284.0,910.0,1553.0
8,09/01/2023 0:00,SE500G24P,50,154,204,150,541.0,245.0,1163.0
9,10/01/2023 0:00,SE500G24P,50,154,204,635,770.0,537.0,1002.0
10,11/01/2023 0:00,SE500G24P,50,154,204,518,471.0,690.0,631.0
11,12/01/2023 0:00,SE500G24P,50,154,204,800,667.0,524.0,1094.0
12,13/01/2023 0:00,SE500G24P,50,154,204,1200,396.0,510.0,0.0
13,14/01/2023 0:00,SE500G24P,50,154,204,1500,376.0,600.0,26.667
14,15/01/2023 0:00,SE500G24P,50,154,204,1500,1140.0,1525.0,1170.0
15,16/01/2023 0:00,SE500G24P,50,154,204,1500,1262.667,2540.0,631.0
16,17/01/2023 0:00,SE500G24P,50,154,204,1400,1754.0,779.0,452.0
17,18/01/2023 0:00,SE500G24P,50,154,204,1200,804.0,1067.0,384.0
18,19/01/2023 0:00,SE500G24P,50,154,204,1200,1446.998,1230.0,1218.0
19,20/01/2023 0:00,SE500G24P,50,154,204,800,877.0,660.0,0.0
20,21/01/2023 0:00,SE500G24P,50,154,204,1000,1127.0,1800.0,52.833
21,22/01/2023 0:00,SE500G24P,50,154,204,1000,529.0,1050.0,924.0
22,23/01/2023 0:00,SE500G24P,50,154,204,1500,1058.417,415.0,1210.0
23,24/01/2023 0:00,SE500G24P,50,154,204,1000,1104.0,730.0,365.0
24,25/01/2023 0:00,SE500G24P,50,154,204,500,883.0,1328.0,303.0
25,26/01/2023 0:00,SE500G24P,50,154,204,0,341.0,580.0,815.0
26,27/01/2023 0:00,SE500G24P,50,154,204,600,584.167,540.0,0.0
27,28/01/2023 0:00,SE500G24P,50,154,204,75,1106.0,455.0,51.0
28,29/01/2023 0:00,SE500G24P,50,154,204,500,510.833,180.0,1540.0
29,30/01/2023 0:00,SE500G24P,50,154,204,500,1158.167,920.0,869.0
30,31/01/2023 0:00,SE500G24P,50,154,204,900,811.0,1069.0,750.0
31,01/02/2023 0:00,SE500G24P,50,154,204,1000,755.0,687.0,601.33
32,02/02/2023 0:00,SE500G24P,50,154,204,500,326.0,566.0,1144.083
33,03/02/2023 0:00,SE500G24P,50,154,204,500,169.0,400.0,0.0
34,04/02/2023 0:00,SE500G24P,50,154,204,1000,711.33,810.0,36.0
35,05/02/2023 0:00,SE500G24P,50,154,204,500,665.083,100.0,1036.0
36,06/02/2023 0:00,SE500G24P,50,154,204,0,746.0,1018.0,1016.0
37,07/02/2023 0:00,SE500G24P,50,154,204,800,876.167,570.0,740.0
38,08/02/2023 0:00,SE500G24P,50,154,204,812,574.0,593.0,629.0
39,09/02/2023 0:00,SE500G24P,50,154,204,500,663.0,265.0,1351.0
40,10/02/2023 0:00,SE500G24P,50,154,204,700,440.0,905.0,0.0
41,11/02/2023 0:00,SE500G24P,50,154,204,300,717.907,335.0,94.0
42,12/02/2023 0:00,SE500G24P,50,154,204,500,252.0,590.0,2063.0
43,13/02/2023 0:00,SE500G24P,50,154,204,800,665.0,555.0,1068.0
44,14/02/2023 0:00,SE500G24P,50,154,204,1000,1135.0,1462.0,1830.0
45,15/02/2023 0:00,SE500G24P,50,154,204,1000,1043.0,660.0,1414.667
46,16/02/2023 0:00,SE500G24P,50,154,204,1200,664.0,350.0,1351.583
47,17/02/2023 0:00,SE500G24P,50,154,204,1000,368.093,1018.0,0.0
48,18/02/2023 0:00,SE500G24P,50,154,204,2000,797.25,280.0,330.166
49,19/02/2023 0:00,SE500G24P,50,154,204,1200,786.166,1560.0,3160.0
50,20/02/2023 0:00,SE500G24P,50,154,204,2000,1209.17,2310.0,2267.0
51,21/02/2023 0:00,SE500G24P,50,154,204,2668,2339.0,2780.0,0.0
52,22/02/2023 0:00,SE500G24P,50,154,204,2500,1792.0,1046.0,1634.5
53,23/02/2023 0:00,SE500G24P,50,154,204,2000,1364.0,2075.0,2488.0
54,24/02/2023 0:00,SE500G24P,50,154,204,3000,1168.0,818.0,0.0
55,25/02/2023 0:00,SE500G24P,50,154,204,2000,1227.5,4020.0,3.0
56,26/02/2023 0:00,SE500G24P,50,154,204,2500,1969.0,470.0,2441.0
57,27/02/2023 0:00,SE500G24P,50,154,204,2000,2889.0,1240.0,1968.0
58,28/02/2023 0:00,SE500G24P,50,154,204,0,2173.0,4155.0,1935.0
59,01/03/2023 0:00,SE500G24P,50,154,204,2500,1348.0,2730.0,1273.42
60,02/03/2023 0:00,SE500G24P,50,154,204,590,1513.42,350.0,1939.0
61,03/03/2023 0:00,SE500G24P,50,154,204,55,672.0,630.0,0.0
62,04/03/2023 0:00,SE500G24P,50,154,204,11,2087.0,1050.0,190.0
63,05/03/2023 0:00,SE500G24P,50,154,204,1100,1084.0,1100.0,2760.0
64,06/03/2023 0:00,SE500G24P,50,154,204,1000,2119.0,1238.0,1317.0
65,07/03/2023 0:00,SE500G24P,50,154,204,1000,1174.0,215.0,1089.0
66,08/03/2023 0:00,SE500G24P,50,154,204,0,701.0,350.0,0.0
67,09/03/2023 0:00,SE500G24P,50,154,204,500,544.0,440.0,1094.0
68,10/03/2023 0:00,SE500G24P,50,154,204,300,459.0,221.0,0.0
69,11/03/2023 0:00,SE500G24P,50,154,204,500,568.0,499.0,91.083
70,12/03/2023 0:00,SE500G24P,50,154,204,520,216.0,300.0,1157.0
71,13/03/2023 0:00,SE500G24P,50,154,204,0,623.583,971.0,699.0
72,14/03/2023 0:00,SE500G24P,50,154,204,32,532.5,537.0,692.0
73,15/03/2023 0:00,SE500G24P,50,154,204,1200,816.0,40.0,457.166
74,16/03/2023 0:00,SE500G24P,50,154,204,700,354.0,820.0,283.667
75,17/03/2023 0:00,SE500G24P,50,154,204,700,270.667,620.0,0.0
76,18/03/2023 0:00,SE500G24P,50,154,204,0,343.166,630.0,269.166
77,19/03/2023 0:00,SE500G24P,50,154,204,200,638.0,347.0,666.0
78,20/03/2023 0:00,SE500G24P,50,154,204,500,465.333,0.0,878.0
79,21/03/2023 0:00,SE500G24P,50,154,204,200,604.0,540.0,432.5
80,22/03/2023 0:00,SE500G24P,50,154,204,780,301.666,895.0,386.0
81,23/03/2023 0:00,SE500G24P,50,154,204,500,247.0,460.0,611.0
82,24/03/2023 0:00,SE500G24P,50,154,204,500,395.0,140.0,0.0
83,25/03/2023 0:00,SE500G24P,50,154,204,0,481.0,300.0,51.0
84,26/03/2023 0:00,SE500G24P,50,154,204,0,497.0,405.0,0.0
85,27/03/2023 0:00,SE500G24P,50,154,204,220,433.0,0.0,1295.0
86,28/03/2023 0:00,SE500G24P,50,154,204,500,592.0,245.0,817.0
87,29/03/2023 0:00,SE500G24P,50,154,204,130,224.0,625.0,617.0
88,30/03/2023 0:00,SE500G24P,50,154,204,750,517.333,450.0,417.996
89,31/03/2023 0:00,SE500G24P,50,154,204,1037,444.33,575.0,0.0
90,01/04/2023 0:00,SE500G24P,50,154,204,546,216.0,844.0,9.0
91,02/04/2023 0:00,SE500G24P,50,154,204,500,725.0,320.0,809.666
92,03/04/2023 0:00,SE500G24P,50,154,204,500,950.666,511.666,1215.0
93,04/04/2023 0:00,SE500G24P,50,154,204,1000,737.333,688.0,1307.416
94,05/04/2023 0:00,SE500G24P,50,154,204,500,307.0,1297.0,1010.0
95,06/04/2023 0:00,SE500G24P,50,154,204,1500,1142.416,1433.0,879.0
96,07/04/2023 0:00,SE500G24P,50,154,204,510,698.833,600.0,0.0
97,08/04/2023 0:00,SE500G24P,50,154,204,1000,1004.0,210.0,266.0
98,09/04/2023 0:00,SE500G24P,50,154,204,500,468.667,753.0,1841.083
99,10/04/2023 0:00,SE500G24P,50,154,204,1500,1228.083,1778.0,1160.0
100,11/04/2023 0:00,SE500G24P,50,154,204,1385,765.5,800.0,831.0
101,12/04/2023 0:00,SE500G24P,50,154,204,600,1449.5,926.0,1261.5
102,13/04/2023 0:00,SE500G24P,50,154,204,500,675.0,820.0,1248.0
