,Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
0,01/01/2023 0:00,SOP001L12P,16,31,27,0,23.0,10.0,100.0
1,02/01/2023 0:00,SOP001L12P,16,31,27,0,60.0,60.0,160.0
2,03/01/2023 0:00,SOP001L12P,16,31,27,0,42.83206522,0.0,278.0
3,04/01/2023 0:00,SOP001L12P,16,31,27,10,265.0,297.0,58.41702899
4,05/01/2023 0:00,SOP001L12P,16,31,27,400,43.41702899,0.0,63.0
5,06/01/2023 0:00,SOP001L12P,16,31,27,0,130.0,140.0,0.0
6,07/01/2023 0:00,SOP001L12P,16,31,27,0,45.0,40.0,35.0
7,08/01/2023 0:00,SOP001L12P,16,31,27,100,50.0,20.0,72.0
8,09/01/2023 0:00,SOP001L12P,16,31,27,0,40.0,27.0,85.0
9,10/01/2023 0:00,SOP001L12P,16,31,27,202,13.0,20.0,152.0
10,11/01/2023 0:00,SOP001L12P,16,31,27,100,0.0,100.0,70.0
11,12/01/2023 0:00,SOP001L12P,16,31,27,0,126.0,130.0,64.0
12,13/01/2023 0:00,SOP001L12P,16,31,27,0,71.08396739,60.0,0.0
13,14/01/2023 0:00,SOP001L12P,16,31,27,0,30.0,115.0,3.916032609
14,15/01/2023 0:00,SOP001L12P,16,31,27,210,3.0,150.0,195.0
15,16/01/2023 0:00,SOP001L12P,16,31,27,0,85.91603261,5.0,10.0
16,17/01/2023 0:00,SOP001L12P,16,31,27,205,96.0,42.0,5.0
17,18/01/2023 0:00,SOP001L12P,16,31,27,0,37.0,20.0,430.0
18,19/01/2023 0:00,SOP001L12P,16,31,27,202,271.0,210.0,161.0
19,20/01/2023 0:00,SOP001L12P,16,31,27,0,163.917029,138.0,0.0
20,21/01/2023 0:00,SOP001L12P,16,31,27,200,10.0,0.0,0.0
21,22/01/2023 0:00,SOP001L12P,16,31,27,0,52.0,180.0,485.0
22,23/01/2023 0:00,SOP001L12P,16,31,27,0,60.0,215.0,164.0
23,24/01/2023 0:00,SOP001L12P,16,31,27,804,259.0,0.0,200.0
24,25/01/2023 0:00,SOP001L12P,16,31,27,0,244.0,138.0,40.0
25,26/01/2023 0:00,SOP001L12P,16,31,27,874,44.0,200.0,140.0
26,27/01/2023 0:00,SOP001L12P,16,31,27,0,90.0,240.0,0.0
27,28/01/2023 0:00,SOP001L12P,16,31,27,0,187.0,50.0,25.0
28,29/01/2023 0:00,SOP001L12P,16,31,27,0,225.0,220.0,481.0
29,30/01/2023 0:00,SOP001L12P,16,31,27,0,59.0,260.0,300.0
30,31/01/2023 0:00,SOP001L12P,16,31,27,0,647.0,400.0,60.0
31,01/02/2023 0:00,SOP001L12P,16,31,27,0,0.0,0.0,484.9160326
32,02/02/2023 0:00,SOP001L12P,16,31,27,0,113.0,34.0,145.582971
33,03/02/2023 0:00,SOP001L12P,16,31,27,0,10.0,10.0,0.0
34,04/02/2023 0:00,SOP001L12P,16,31,27,0,29.91603261,19.0,120.0
35,05/02/2023 0:00,SOP001L12P,16,31,27,130,167.582971,154.0,338.0
36,06/02/2023 0:00,SOP001L12P,16,31,27,0,5.0,0.0,290.0
37,07/02/2023 0:00,SOP001L12P,16,31,27,0,0.0,0.0,495.0
38,08/02/2023 0:00,SOP001L12P,16,31,27,370,0.0,0.0,100.0
39,09/02/2023 0:00,SOP001L12P,16,31,27,0,0.0,0.0,283.0
40,10/02/2023 0:00,SOP001L12P,16,31,27,0,0.0,0.0,0.0
41,11/02/2023 0:00,SOP001L12P,16,31,27,0,0.0,0.0,410.0
42,12/02/2023 0:00,SOP001L12P,16,31,27,0,10.0,0.0,279.0
43,13/02/2023 0:00,SOP001L12P,16,31,27,329,60.0,60.0,30.0
44,14/02/2023 0:00,SOP001L12P,16,31,27,0,250.0,300.0,240.0
45,15/02/2023 0:00,SOP001L12P,16,31,27,873,50.0,20.0,51.41603261
46,16/02/2023 0:00,SOP001L12P,16,31,27,0,381.0,371.0,355.082971
47,17/02/2023 0:00,SOP001L12P,16,31,27,0,30.0,30.0,0.0
48,18/02/2023 0:00,SOP001L12P,16,31,27,330,6.416032609,0.0,3.0
49,19/02/2023 0:00,SOP001L12P,16,31,27,385,230.0,230.0,44.0
50,20/02/2023 0:00,SOP001L12P,16,31,27,376,60.0,55.0,130.0
51,21/02/2023 0:00,SOP001L12P,16,31,27,0,5.0,0.0,0.0
52,22/02/2023 0:00,SOP001L12P,16,31,27,0,10.0,25.0,51.0
53,23/02/2023 0:00,SOP001L12P,16,31,27,0,56.0,181.0,200.0
54,24/02/2023 0:00,SOP001L12P,16,31,27,0,310.0,310.0,0.0
55,25/02/2023 0:00,SOP001L12P,16,31,27,415,60.0,0.0,0.0
56,26/02/2023 0:00,SOP001L12P,16,31,27,0,860.082971,1150.0,72.0
57,27/02/2023 0:00,SOP001L12P,16,31,27,0,110.0,90.318,0.0
58,28/02/2023 0:00,SOP001L12P,16,31,27,0,121.0,0.0,0.0
59,01/03/2023 0:00,SOP001L12P,16,31,27,415,70.0,70.0,50.58297101
60,02/03/2023 0:00,SOP001L12P,16,31,27,57,110.0,91.0,20.0
61,03/03/2023 0:00,SOP001L12P,16,31,27,0,220.0,150.0,0.0
62,04/03/2023 0:00,SOP001L12P,16,31,27,0,11.0,0.0,4.0
63,05/03/2023 0:00,SOP001L12P,16,31,27,0,150.0,150.0,207.0
64,06/03/2023 0:00,SOP001L12P,16,31,27,0,0.0,14.0,18.0
65,07/03/2023 0:00,SOP001L12P,16,31,27,0,10.0,70.0,130.0
66,08/03/2023 0:00,SOP001L12P,16,31,27,336,106.0,110.0,0.0
67,09/03/2023 0:00,SOP001L12P,16,31,27,306,10.0,5.0,201.0
68,10/03/2023 0:00,SOP001L12P,16,31,27,0,0.0,5.0,0.0
69,11/03/2023 0:00,SOP001L12P,16,31,27,0,40.0,0.0,0.0
70,12/03/2023 0:00,SOP001L12P,16,31,27,300,5.0,0.0,280.0
71,13/03/2023 0:00,SOP001L12P,16,31,27,300,28.0,15.0,50.0
72,14/03/2023 0:00,SOP001L12P,16,31,27,637,56.0,100.0,50.0
73,15/03/2023 0:00,SOP001L12P,16,31,27,339,25.58297101,27.0,301.0
74,16/03/2023 0:00,SOP001L12P,16,31,27,0,652.0,660.0,27.0
75,17/03/2023 0:00,SOP001L12P,16,31,27,0,20.0,10.0,0.0
76,18/03/2023 0:00,SOP001L12P,16,31,27,0,65.00099638,50.0,0.332971014
77,19/03/2023 0:00,SOP001L12P,16,31,27,0,100.0,220.0,91.0
78,20/03/2023 0:00,SOP001L12P,16,31,27,0,323.0,560.0,510.0
79,21/03/2023 0:00,SOP001L12P,16,31,27,0,130.0,30.0,280.0
80,22/03/2023 0:00,SOP001L12P,16,31,27,211,264.0,130.0,14.0
81,23/03/2023 0:00,SOP001L12P,16,31,27,233,70.0,90.0,6.0
82,24/03/2023 0:00,SOP001L12P,16,31,27,0,0.0,0.0,0.0
83,25/03/2023 0:00,SOP001L12P,16,31,27,500,222.0,200.0,13.0
84,26/03/2023 0:00,SOP001L12P,16,31,27,0,78.0,13.0,0.0
85,27/03/2023 0:00,SOP001L12P,16,31,27,0,50.0,50.0,145.0
86,28/03/2023 0:00,SOP001L12P,16,31,27,0,4.0,10.0,95.0
87,29/03/2023 0:00,SOP001L12P,16,31,27,0,564.0,594.0,0.0
88,30/03/2023 0:00,SOP001L12P,16,31,27,0,43.0,220.0,61.75
89,31/03/2023 0:00,SOP001L12P,16,31,27,0,183.582971,0.0,0.0
90,01/04/2023 0:00,SOP001L12P,16,31,27,0,0.0,0.0,5.0
91,02/04/2023 0:00,SOP001L12P,16,31,27,10,5.0,55.0,0.0
92,03/04/2023 0:00,SOP001L12P,16,31,27,0,0.0,0.0,23.0
93,04/04/2023 0:00,SOP001L12P,16,31,27,0,0.167028986,0.0,725.0
94,05/04/2023 0:00,SOP001L12P,16,31,27,0,33.0,0.0,10.0
95,06/04/2023 0:00,SOP001L12P,16,31,27,1537,5.0,0.0,105.0
96,07/04/2023 0:00,SOP001L12P,16,31,27,0,95.0,0.0,0.0
