,Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
0,01/01/2023 0:00,SOS008L02P,52,92,78,1008,455.0,220.0,1355.0
1,02/01/2023 0:00,SOS008L02P,52,92,78,1014,327.0,485.0,338.0
2,03/01/2023 0:00,SOS008L02P,52,92,78,0,523.5,520.0,226.0
3,04/01/2023 0:00,SOS008L02P,52,92,78,0,158.0,305.0,223.5
4,05/01/2023 0:00,SOS008L02P,52,92,78,0,351.5,320.0,233.0
5,06/01/2023 0:00,SOS008L02P,52,92,78,0,55.0,390.0,0.0
6,07/01/2023 0:00,SOS008L02P,52,92,78,0,434.0,300.0,15.0
7,08/01/2023 0:00,SOS008L02P,52,92,78,0,243.0,78.0,1521.0
8,09/01/2023 0:00,SOS008L02P,52,92,78,0,162.0,115.0,142.0
9,10/01/2023 0:00,SOS008L02P,52,92,78,0,456.0,398.0,292.0
10,11/01/2023 0:00,SOS008L02P,52,92,78,2000,181.0,516.0,633.0
11,12/01/2023 0:00,SOS008L02P,52,92,78,1514,478.0,898.0,240.0
12,13/01/2023 0:00,SOS008L02P,52,92,78,0,260.0,400.0,0.0
13,14/01/2023 0:00,SOS008L02P,52,92,78,0,629.0,365.0,80.0
14,15/01/2023 0:00,SOS008L02P,52,92,78,1304,347.0,210.0,1180.0
15,16/01/2023 0:00,SOS008L02P,52,92,78,0,418.0,940.0,244.0
16,17/01/2023 0:00,SOS008L02P,52,92,78,0,808.0,734.0,1513.5
17,18/01/2023 0:00,SOS008L02P,52,92,78,0,611.5,650.0,264.0
18,19/01/2023 0:00,SOS008L02P,52,92,78,0,435.0,85.0,836.0
19,20/01/2023 0:00,SOS008L02P,52,92,78,3,98.0,58.0,0.0
20,21/01/2023 0:00,SOS008L02P,52,92,78,2002,480.0,895.0,942.5
21,22/01/2023 0:00,SOS008L02P,52,92,78,1030,1317.5,1447.5,310.0
22,23/01/2023 0:00,SOS008L02P,52,92,78,1000,326.0,457.0,235.0
23,24/01/2023 0:00,SOS008L02P,52,92,78,1005,746.0,105.0,645.0
24,25/01/2023 0:00,SOS008L02P,52,92,78,1011,605.0,670.0,254.0
25,26/01/2023 0:00,SOS008L02P,52,92,78,0,614.0,530.0,1715.0
26,27/01/2023 0:00,SOS008L02P,52,92,78,0,63.0,350.0,0.0
27,28/01/2023 0:00,SOS008L02P,52,92,78,0,862.0,625.0,23.0
28,29/01/2023 0:00,SOS008L02P,52,92,78,0,375.0,365.0,1681.0
29,30/01/2023 0:00,SOS008L02P,52,92,78,0,280.0,540.0,531.0
30,31/01/2023 0:00,SOS008L02P,52,92,78,503,792.0,95.0,213.0
31,01/02/2023 0:00,SOS008L02P,52,92,78,0,1221.0,350.0,1251.5
32,02/02/2023 0:00,SOS008L02P,52,92,78,1219,386.0,105.0,935.0
33,03/02/2023 0:00,SOS008L02P,52,92,78,0,377.0,302.0,0.0
34,04/02/2023 0:00,SOS008L02P,52,92,78,3000,525.0,830.0,913.0
35,05/02/2023 0:00,SOS008L02P,52,92,78,2067,1211.5,2262.0,2018.0
36,06/02/2023 0:00,SOS008L02P,52,92,78,0,1390.0,1715.0,710.0
37,07/02/2023 0:00,SOS008L02P,52,92,78,0,1123.0,555.0,214.0
38,08/02/2023 0:00,SOS008L02P,52,92,78,0,800.0,475.0,421.0
39,09/02/2023 0:00,SOS008L02P,52,92,78,0,505.0,193.0,181.0
40,10/02/2023 0:00,SOS008L02P,52,92,78,0,30.0,8.0,0.0
41,11/02/2023 0:00,SOS008L02P,52,92,78,0,87.0,0.0,55.0
42,12/02/2023 0:00,SOS008L02P,52,92,78,0,223.0,0.0,451.0
43,13/02/2023 0:00,SOS008L02P,52,92,78,2000,216.0,6.0,615.0
44,14/02/2023 0:00,SOS008L02P,52,92,78,881,675.0,980.0,388.0
45,15/02/2023 0:00,SOS008L02P,52,92,78,786,622.0,565.0,819.0
46,16/02/2023 0:00,SOS008L02P,52,92,78,2122,399.0,1225.0,878.5
47,17/02/2023 0:00,SOS008L02P,52,92,78,768,166.0,420.0,0.0
48,18/02/2023 0:00,SOS008L02P,52,92,78,1517,347.5,260.0,83.0
49,19/02/2023 0:00,SOS008L02P,52,92,78,0,472.0,452.0,867.0
50,20/02/2023 0:00,SOS008L02P,52,92,78,0,752.0,810.0,1253.0
51,21/02/2023 0:00,SOS008L02P,52,92,78,0,443.0,745.0,0.0
52,22/02/2023 0:00,SOS008L02P,52,92,78,0,497.0,130.0,301.0
53,23/02/2023 0:00,SOS008L02P,52,92,78,0,443.0,535.0,202.0
54,24/02/2023 0:00,SOS008L02P,52,92,78,0,400.0,330.0,0.0
55,25/02/2023 0:00,SOS008L02P,52,92,78,0,120.0,36.0,304.0
56,26/02/2023 0:00,SOS008L02P,52,92,78,0,516.0,55.0,727.0
57,27/02/2023 0:00,SOS008L02P,52,92,78,0,158.0,780.413,278.0
58,28/02/2023 0:00,SOS008L02P,52,92,78,0,768.0,470.0,10.0
59,01/03/2023 0:00,SOS008L02P,52,92,78,0,460.0,38.0,898.0
60,02/03/2023 0:00,SOS008L02P,52,92,78,3000,210.0,100.0,702.0
61,03/03/2023 0:00,SOS008L02P,52,92,78,18,260.0,900.0,0.0
62,04/03/2023 0:00,SOS008L02P,52,92,78,1000,710.0,540.0,675.0
63,05/03/2023 0:00,SOS008L02P,52,92,78,1760,720.0,650.0,833.0
64,06/03/2023 0:00,SOS008L02P,52,92,78,1000,869.0,1235.0,1228.0
65,07/03/2023 0:00,SOS008L02P,52,92,78,1068,1206.0,680.0,409.0
66,08/03/2023 0:00,SOS008L02P,52,92,78,0,162.0,377.0,0.0
67,09/03/2023 0:00,SOS008L02P,52,92,78,2062,471.0,708.0,2777.0
68,10/03/2023 0:00,SOS008L02P,52,92,78,0,115.0,305.0,0.0
69,11/03/2023 0:00,SOS008L02P,52,92,78,0,246.0,360.0,132.0
