,Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
0,01/01/2023 0:00,SOS500M24P,119,184,568,1003,1555.0,1670.634,8552.0
1,02/01/2023 0:00,SOS500M24P,119,184,568,3500,5324.0,3676.0,7207.0
2,03/01/2023 0:00,SOS500M24P,119,184,568,8500,5393.5,6334.5,4234.0
3,04/01/2023 0:00,SOS500M24P,119,184,568,7281,5641.0,5525.0,4046.0
4,05/01/2023 0:00,SOS500M24P,119,184,568,8000,4089.0,4576.0,6357.0
5,06/01/2023 0:00,SOS500M24P,119,184,568,1603,1960.0,3090.0,0.0
6,07/01/2023 0:00,SOS500M24P,119,184,568,2376,4485.0,2169.0,796.0
7,08/01/2023 0:00,SOS500M24P,119,184,568,0,3125.0,1840.0,7199.0
8,09/01/2023 0:00,SOS500M24P,119,184,568,0,3557.602808,2367.0,6310.0
9,10/01/2023 0:00,SOS500M24P,119,184,568,3552,3644.0,4366.0,3580.0
10,11/01/2023 0:00,SOS500M24P,119,184,568,4001,4492.000996,6498.0,3487.0
11,12/01/2023 0:00,SOS500M24P,119,184,568,8500,4413.000996,6094.0,4635.0
12,13/01/2023 0:00,SOS500M24P,119,184,568,3683,1639.0,2758.0,0.0
13,14/01/2023 0:00,SOS500M24P,119,184,568,2927,3378.01096,2807.0,746.0
14,15/01/2023 0:00,SOS500M24P,119,184,568,4072,2760.375,3127.0,7905.0
15,16/01/2023 0:00,SOS500M24P,119,184,568,5445,6092.999004,6566.0,3143.0
16,17/01/2023 0:00,SOS500M24P,119,184,568,2502,4664.999004,5276.0,2797.0
17,18/01/2023 0:00,SOS500M24P,119,184,568,5,2821.0,587.0,3499.0
18,19/01/2023 0:00,SOS500M24P,119,184,568,3840,3468.0,1056.0,6121.0
19,20/01/2023 0:00,SOS500M24P,119,184,568,2263,3231.0,2291.0,0.0
20,21/01/2023 0:00,SOS500M24P,119,184,568,4001,2523.0,3765.0,766.6599638
21,22/01/2023 0:00,SOS500M24P,119,184,568,5501,2106.659964,5201.66,7057.0
22,23/01/2023 0:00,SOS500M24P,119,184,568,3008,4867.0,4953.0,4286.0
23,24/01/2023 0:00,SOS500M24P,119,184,568,3701,5025.0,4920.0,2905.0
24,25/01/2023 0:00,SOS500M24P,119,184,568,5004,4075.0,3907.0,3037.0
25,26/01/2023 0:00,SOS500M24P,119,184,568,4511,3439.0,4500.0,5009.0
26,27/01/2023 0:00,SOS500M24P,119,184,568,2697,2797.0,2005.0,0.0
27,28/01/2023 0:00,SOS500M24P,119,184,568,4500,2700.0,2375.0,697.332971
28,29/01/2023 0:00,SOS500M24P,119,184,568,5004,1640.0,2961.0,5655.0
29,30/01/2023 0:00,SOS500M24P,119,184,568,0,4140.0,2237.0,3797.0
30,31/01/2023 0:00,SOS500M24P,119,184,568,4008,4929.0,1566.0,2368.0
31,01/02/2023 0:00,SOS500M24P,119,184,568,0,1655.0,520.0,8190.0
32,02/02/2023 0:00,SOS500M24P,119,184,568,4046,3725.0,7043.0,7360.0
33,03/02/2023 0:00,SOS500M24P,119,184,568,2057,3439.0,4151.0,0.0
34,04/02/2023 0:00,SOS500M24P,119,184,568,3423,2171.61404,4827.0,567.332971
35,05/02/2023 0:00,SOS500M24P,119,184,568,4500,2776.718931,7649.333,9705.0
36,06/02/2023 0:00,SOS500M24P,119,184,568,2538,6723.0,2442.0,5541.0
37,07/02/2023 0:00,SOS500M24P,119,184,568,5500,4821.001993,2310.0,3469.0
38,08/02/2023 0:00,SOS500M24P,119,184,568,4739,4458.0,5086.0,4185.0
39,09/02/2023 0:00,SOS500M24P,119,184,568,6005,4386.0,2477.0,5810.0
40,10/02/2023 0:00,SOS500M24P,119,184,568,4005,2554.0,3537.0,0.0
41,11/02/2023 0:00,SOS500M24P,119,184,568,5620,2174.0,3550.0,323.0
42,12/02/2023 0:00,SOS500M24P,119,184,568,5381,3621.61404,6195.0,9100.0
43,13/02/2023 0:00,SOS500M24P,119,184,568,7000,6132.0,6578.0,6518.0
44,14/02/2023 0:00,SOS500M24P,119,184,568,0,6117.383967,6580.0,10970.0
45,15/02/2023 0:00,SOS500M24P,119,184,568,0,4354.0,2154.0,5161.0
46,16/02/2023 0:00,SOS500M24P,119,184,568,5190,5794.0,4377.0,5645.0
47,17/02/2023 0:00,SOS500M24P,119,184,568,5003,3943.0,6038.0,0.0
48,18/02/2023 0:00,SOS500M24P,119,184,568,4508,4866.0,4765.0,80.0
49,19/02/2023 0:00,SOS500M24P,119,184,568,5004,4523.0,5005.0,5529.0
50,20/02/2023 0:00,SOS500M24P,119,184,568,7369,4338.0,4621.0,3857.0
51,21/02/2023 0:00,SOS500M24P,119,184,568,8855,3915.0,5401.0,32.0
52,22/02/2023 0:00,SOS500M24P,119,184,568,4001,4038.0,2451.0,5588.0
53,23/02/2023 0:00,SOS500M24P,119,184,568,5541,4802.0,5981.0,4106.0
54,24/02/2023 0:00,SOS500M24P,119,184,568,4144,4039.0,4643.0,0.0
55,25/02/2023 0:00,SOS500M24P,119,184,568,3239,2863.0,1475.0,407.0
56,26/02/2023 0:00,SOS500M24P,119,184,568,3002,1430.0,3572.0,5427.0
57,27/02/2023 0:00,SOS500M24P,119,184,568,3513,4502.0,4961.0,2877.0
58,28/02/2023 0:00,SOS500M24P,119,184,568,3000,3653.0,1802.0,1801.659964
59,01/03/2023 0:00,SOS500M24P,119,184,568,3197,2080.659964,3999.77,7512.0
60,02/03/2023 0:00,SOS500M24P,119,184,568,4040,2744.0,2996.0,4000.0
61,03/03/2023 0:00,SOS500M24P,119,184,568,3542,3037.0,3699.0,0.0
62,04/03/2023 0:00,SOS500M24P,119,184,568,2601,3046.0,2024.0,317.0
63,05/03/2023 0:00,SOS500M24P,119,184,568,3000,2788.0,3342.0,7872.0
64,06/03/2023 0:00,SOS500M24P,119,184,568,6341,5524.0,6182.0,5415.0
65,07/03/2023 0:00,SOS500M24P,119,184,568,5001,4544.0,4940.0,5518.0
