Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
01/01/2023 0:00,SOS008L02P,52,92,78,1008,455.0,220.0,1355.0
01/01/2023 0:00,SOS005L04P,153,226,957,3008,2241.0,2598.0,12594.0
01/01/2023 0:00,SOS002L09P,126,195,896,2034,1698.0,2080.0,14556.0
01/01/2023 0:00,SOS001L12P,142,213,861,4016,3816.0,2748.0,21394.0
01/01/2023 0:00,SOS500M24P,119,184,568,1003,1555.0,1670.634,8552.0
01/01/2023 0:00,POV001L24P,92,153,222,201,634.0,390.0,1829.0
01/01/2023 0:00,POV500M24P,74,122,152,205,414.0,245.0,1349.0
01/01/2023 0:00,POP001L12P,99,160,193,506,275.0,75.0,1250.0
01/01/2023 0:00,POPF01L12P,23,36,36,200,10.0,152.0,780.0
01/01/2023 0:00,AT5X5K,43,121,168,1500,707.0,970.0,2642.0
01/01/2023 0:00,ATN02K12P,31,93,125,200,497.08,100.0,1819.0
01/01/2023 0:00,ATN01K24P,75,219,716,3500,470.0,2600.0,5184.0
01/01/2023 0:00,MAR02K12P,8,22,42,100,99.0,0.0,464.0
01/01/2023 0:00,MAR01K24P,51,148,309,100,137.0,480.0,1607.0
01/01/2023 0:00,SE500G24P,50,154,204,1000,160.0,1341.0,1507.0
02/01/2023 0:00,SOS005L04P,153,226,957,6000,8286.0,4982.0,11677.0
02/01/2023 0:00,SOS002L09P,126,195,896,6000,9240.0,4640.0,13085.0
02/01/2023 0:00,SOS001L12P,142,213,861,7000,12683.0,7560.0,17059.0
02/01/2023 0:00,SOS500M24P,119,184,568,3500,5324.0,3676.0,7207.0
02/01/2023 0:00,POV005L04P,38,66,64,154,85.0,88.0,160.0
02/01/2023 0:00,POV002L09P,61,103,153,305,345.0,318.0,380.0
02/01/2023 0:00,POV001L24P,92,153,222,804,1045.0,1250.0,1277.0
02/01/2023 0:00,POP002L09P,53,88,84,101,100.0,165.0,140.0
02/01/2023 0:00,POPF01L12P,23,36,36,114,298.0,250.0,213.0
02/01/2023 0:00,ATN02K12P,31,93,125,500,823.0,705.0,1281.0
02/01/2023 0:00,ATN01K24P,75,219,716,4000,4269.0,3140.0,4345.0
02/01/2023 0:00,MAR02K12P,8,22,42,100,236.0,100.0,310.0
02/01/2023 0:00,MAR01K24P,51,148,309,200,962.0,425.0,999.0
02/01/2023 0:00,SE500G24P,50,154,204,300,980.0,427.0,602.0
03/01/2023 0:00,SOS005L04P,153,226,957,4012,11279.75,11175.0,8551.0
03/01/2023 0:00,SOS002L09P,126,195,896,5053,10290.44505,10801.0,8573.107971
03/01/2023 0:00,SOS001L12P,142,213,861,10000,14731.16603,12661.0,12178.0
03/01/2023 0:00,POV002L09P,61,103,153,1,342.0,401.0,275.0
03/01/2023 0:00,POV001L24P,92,153,222,701,1061.0,938.0,999.0
03/01/2023 0:00,AT5X5K,43,121,168,2000,2215.6,2964.0,2355.0
03/01/2023 0:00,MAR01K24P,51,148,309,1200,1007.875,1110.0,2004.0
03/01/2023 0:00,SE500G24P,50,154,204,300,854.5,435.0,1363.0
04/01/2023 0:00,SOS005L04P,153,226,957,10497,9897.0,8286.0,10667.25
04/01/2023 0:00,SOS001L12P,142,213,861,10618,13842.66603,12087.0,10920.08297
04/01/2023 0:00,SOP001L12P,16,31,27,10,265.0,297.0,58.41702899
04/01/2023 0:00,POV500M24P,74,122,152,402,440.0,525.0,781.0
04/01/2023 0:00,ATN01K24P,75,219,716,3000,5124.333,4318.0,4698.958
04/01/2023 0:00,MASR025K,14,28,24,5,24.0,0.0,46.0
04/01/2023 0:00,SE500G24P,50,154,204,100,583.0,300.0,756.667
05/01/2023 0:00,SOS001L12P,142,213,861,15156,9933.416938,12414.0,16931.0
05/01/2023 0:00,POP001L12P,99,160,193,1033,1098.0,978.0,1631.0
05/01/2023 0:00,POP002L09P,53,88,84,102,5.0,30.0,123.0
05/01/2023 0:00,POP500M24P,83,142,114,101,51.0,275.0,210.0
05/01/2023 0:00,POPF01L12P,23,36,36,54,24.0,160.0,195.0
05/01/2023 0:00,AT5X5K,43,121,168,2000,735.8,1100.0,3504.0
05/01/2023 0:00,SE500G24P,50,154,204,1000,347.667,645.0,1398.0
07/01/2023 0:00,ATN02K12P,31,93,125,400,755.0,690.0,608.0
07/01/2023 0:00,MAR02K12P,8,22,42,7,247.0,230.0,147.0
07/01/2023 0:00,MASR025K,14,28,24,45,60.0,100.0,477.0
08/01/2023 0:00,SOS005L04P,153,226,957,10000,6683.0,9138.0,13298.0
08/01/2023 0:00,SOS001L12P,142,213,861,8386,6249.0,8480.0,17243.0
08/01/2023 0:00,POP001L12P,99,160,193,1429,323.0,250.0,1798.0
08/01/2023 0:00,AT5X5K,43,121,168,1500,1225.0,1009.0,3322.0
08/01/2023 0:00,ATN01K24P,75,219,716,3000,1508.0,1460.0,9714.0
08/01/2023 0:00,MAR01K24P,51,148,309,350,562.0,925.0,2100.0
08/01/2023 0:00,SE500G24P,50,154,204,500,284.0,910.0,1553.0
09/01/2023 0:00,SOS005L04P,153,226,957,6017,9287.25,7796.0,10586.5
09/01/2023 0:00,SOS001L12P,142,213,861,10004,11547.0,11839.0,15628.0
09/01/2023 0:00,POP001L12P,99,160,193,544,742.0,515.0,3524.0
09/01/2023 0:00,AT5X5K,43,121,168,1500,3501.94,3129.0,2254.0
