Date,Product Code,Number of Edges(Plant),Number of Edges(Storage),Number of Nodes,Production,Delivery to Distributer,Factory Issue,Sales Order
01/01/2023 0:00,SOS008L02P,52,92,78,1008,455.0,220.0,1355.0
01/01/2023 0:00,POP001L12P,99,160,193,506,275.0,75.0,1250.0
01/01/2023 0:00,ATN02K12P,31,93,125,200,497.08,100.0,1819.0
01/01/2023 0:00,MAR02K12P,8,22,42,100,99.0,0.0,464.0
04/01/2023 0:00,MASR025K,14,28,24,5,24.0,0.0,46.0
05/01/2023 0:00,POP002L09P,53,88,84,102,5.0,30.0,123.0
08/01/2023 0:00,POP001L12P,99,160,193,1429,323.0,250.0,1798.0
15/01/2023 0:00,SOS003L04P,91,146,375,1449,726.0,403.0,1837.0
15/01/2023 0:00,SOS250M48P,49,88,50,2,379.0,9.0,1338.0
15/01/2023 0:00,POPF01L12P,23,36,36,500,10.0,0.0,579.0
15/01/2023 0:00,MAR01K24P,51,148,309,525,512.999,210.0,1585.417
17/01/2023 0:00,POP005L04P,37,64,42,100,32.0,14.0,115.0
18/01/2023 0:00,SE200G24P,17,37,29,6,45.0,7.0,40.0
19/01/2023 0:00,SOS500M24P,119,184,568,3840,3468.0,1056.0,6121.0
22/01/2023 0:00,POV002L09P,61,103,153,2,51.0,10.0,648.0
23/01/2023 0:00,POP001L12P,99,160,193,1003,839.0,70.0,1672.0
29/01/2023 0:00,ATN01K24P,75,219,716,3000,1177.0,715.0,5019.0
29/01/2023 0:00,MAHS025K,6,19,10,18,8.0,0.0,31.0
29/01/2023 0:00,SE500G24P,50,154,204,500,510.833,180.0,1540.0
30/01/2023 0:00,POP001L12P,99,160,193,957,453.0,252.0,2665.0
05/02/2023 0:00,MAR01K24P,51,148,309,500,667.583,160.0,929.0
05/02/2023 0:00,MASR025K,14,28,24,100,120.0,0.0,105.0
05/02/2023 0:00,SE500G24P,50,154,204,500,665.083,100.0,1036.0
06/02/2023 0:00,POP005L04P,37,64,42,104,2.0,0.0,165.0
06/02/2023 0:00,POP002L09P,53,88,84,203,30.0,20.0,208.0
06/02/2023 0:00,MAHS025K,6,19,10,2,0.0,0.0,20.0
07/02/2023 0:00,MAR01K24P,51,148,309,380,929.0,100.0,722.577
11/02/2023 0:00,ATN02K12P,31,93,125,200,628.167,0.0,297.0
15/02/2023 0:00,MAR02K12P,8,22,42,15,200.0,0.0,332.583
19/02/2023 0:00,AT5X5K,43,121,168,1000,379.0,0.0,1097.0
19/02/2023 0:00,ATN01K24P,75,219,716,3000,1906.998,665.0,6197.215
19/02/2023 0:00,MAHS025K,6,19,10,13,27.0,0.0,87.0
19/02/2023 0:00,SE200G24P,17,37,29,200,209.0,45.0,226.0
26/02/2023 0:00,ATN02K12P,31,93,125,645,495.6666667,142.0,719.0833333
26/02/2023 0:00,MAR01K24P,51,148,309,500,532.0,103.0,1160.0
02/03/2023 0:00,MAR01K24P,51,148,309,1285,898.0,350.0,1847.0
07/03/2023 0:00,SE500G24P,50,154,204,1000,1174.0,215.0,1089.0
09/03/2023 0:00,POP001L12P,99,160,193,1323,0.0,0.0,4952.0
09/03/2023 0:00,ATN02K12P,31,93,125,500,347.0,0.0,1158.0
09/03/2023 0:00,MAR02K12P,8,22,42,406,202.0,0.0,560.0
12/03/2023 0:00,AT5X5K,43,121,168,500,438.0,152.0,690.0
12/03/2023 0:00,MAR01K24P,51,148,309,565,359.0,130.0,1087.0
15/03/2023 0:00,ATN02K12P,31,93,125,300,331.677,0.0,386.25
19/03/2023 0:00,ATN02K12P,31,93,125,3,158.0,20.0,213.0
20/03/2023 0:00,MAR02K12P,8,22,42,100,50.0,0.0,421.0
20/03/2023 0:00,MAR01K24P,51,148,309,925,359.0,0.0,998.0
20/03/2023 0:00,SE500G24P,50,154,204,500,465.333,0.0,878.0
20/03/2023 0:00,SE200G24P,17,37,29,200,35.0,0.0,263.0
22/03/2023 0:00,SOS500M24P,119,184,568,4369,2820.167029,379.0,4572.0
23/03/2023 0:00,POV005L04P,38,66,64,1300,315.0,180.0,1500.0
23/03/2023 0:00,MAR01K24P,51,148,309,1010,376.0,145.0,1803.833
25/03/2023 0:00,MASR025K,14,28,24,100,44.0,0.0,100.0
27/03/2023 0:00,ATN01K24P,75,219,716,502,1143.0,100.0,2745.0
27/03/2023 0:00,MAR01K24P,51,148,309,464,376.0,50.0,1883.0
27/03/2023 0:00,SE500G24P,50,154,204,220,433.0,0.0,1295.0
27/03/2023 0:00,SE200G24P,17,37,29,50,165.0,20.0,434.0
02/04/2023 0:00,ATN02K12P,31,93,125,7,66.0,0.0,158.0
03/04/2023 0:00,MAR01K24P,51,148,309,614,1249.666,271.666,1140.0
05/04/2023 0:00,MAR01K24P,51,148,309,500,1044.0,142.0,1037.0
06/04/2023 0:00,MAHS025K,6,19,10,150,0.0,0.0,250.0
08/04/2023 0:00,MASR025K,14,28,24,150,20.0,20.0,410.0
09/04/2023 0:00,AT5X5K,43,121,168,500,140.0,55.0,1105.4
12/04/2023 0:00,SOS008L02P,52,92,78,1211,197.0,63.0,1376.0
16/04/2023 0:00,MAR02K12P,8,22,42,5,174.0,0.0,15.0
17/04/2023 0:00,ATN01K24P,75,219,716,5000,3378.0,1301.0,5853.0
17/04/2023 0:00,MAR01K24P,51,148,309,1000,1120.0,345.0,1221.0
26/04/2023 0:00,SE500G24P,50,154,204,500,264.5,150.0,881.0
02/05/2023 0:00,SOS500M24P,119,184,568,16,791.332971,50.0,2089.0
02/05/2023 0:00,AT5X5K,43,121,168,1000,156.0,150.0,3075.0
02/05/2023 0:00,MAR02K12P,8,22,42,300,75.0,0.0,838.0
03/05/2023 0:00,POV500M24P,74,122,152,7,89.0,16.0,30.0
04/05/2023 0:00,MASR025K,14,28,24,100,26.0,0.0,390.0
10/05/2023 0:00,MAR02K12P,8,22,42,200,318.995,0.0,601.0
18/05/2023 0:00,POP500M24P,83,142,114,306,339.0,70.0,310.0
21/05/2023 0:00,AT5X5K,43,121,168,300,183.0,105.0,673.0
21/05/2023 0:00,MAR01K24P,51,148,309,500,273.625,145.0,673.0
21/05/2023 0:00,SE500G24P,50,154,204,500,367.25,160.0,928.0
22/05/2023 0:00,ATN02K12P,31,93,125,100,636.0,60.0,1641.0
22/05/2023 0:00,SE500G24P,50,154,204,200,507.916,75.0,686.0
28/05/2023 0:00,SOS005L04P,153,226,957,3243,2085.0,945.0,4496.0
28/05/2023 0:00,SOS002L09P,126,195,896,1501,1381.0,310.0,3596.0
28/05/2023 0:00,SOS001L12P,142,213,861,4000,1982.0,730.0,5528.0
28/05/2023 0:00,SOS500M24P,119,184,568,2005,987.0,600.0,3656.0
28/05/2023 0:00,AT5X5K,43,121,168,700,230.0,0.0,754.0
28/05/2023 0:00,ATN01K24P,75,219,716,2000,1248.0,95.0,3526.0
28/05/2023 0:00,MAR01K24P,51,148,309,500,206.0,5.0,791.0
28/05/2023 0:00,SE500G24P,50,154,204,400,363.0,80.0,857.0
01/06/2023 0:00,SE500G24P,50,154,204,5,154.0,50.0,403.0
04/06/2023 0:00,SOS500M24P,119,184,568,1500,802.0,505.0,4843.0
04/06/2023 0:00,POP002L09P,53,88,84,4,19.0,4.0,335.0
04/06/2023 0:00,AT5X5K,43,121,168,500,180.0,103.0,516.0
05/06/2023 0:00,POV002L09P,61,103,153,4,268.0,28.0,623.0
06/06/2023 0:00,ATN02K12P,31,93,125,1000,748.0,88.0,1088.0
07/06/2023 0:00,SOS005L04P,153,226,957,3006,6627.5,0.0,5303.0
07/06/2023 0:00,SOS500M24P,119,184,568,1201,2767.0,0.0,2077.0
07/06/2023 0:00,POV001L24P,92,153,222,451,1130.0,0.0,777.0
07/06/2023 0:00,POV500M24P,74,122,152,401,720.0,0.0,759.0
07/06/2023 0:00,ATN02K12P,31,93,125,500,980.0,0.0,753.0
07/06/2023 0:00,ATN01K24P,75,219,716,1000,2331.087,0.0,2211.0
07/06/2023 0:00,SE500G24P,50,154,204,500,581.08,0.0,562.0
08/06/2023 0:00,SOS500M24P,119,184,568,2001,2246.0,0.0,2397.0
08/06/2023 0:00,POV001L24P,92,153,222,1101,597.0,0.0,1186.0
08/06/2023 0:00,ATN01K24P,75,219,716,1000,2446.0,0.0,3127.5
08/06/2023 0:00,SE500G24P,50,154,204,700,774.0,0.0,749.0
10/06/2023 0:00,MASR025K,14,28,24,108,64.0,0.0,220.0
11/06/2023 0:00,MASR025K,14,28,24,100,180.0,0.0,100.0
13/06/2023 0:00,POPF01L12P,23,36,36,100,80.0,0.0,219.0
14/06/2023 0:00,MASR025K,14,28,24,6,115.0,0.0,75.0
15/06/2023 0:00,MAHS025K,6,19,10,38,10.0,0.0,45.0
18/06/2023 0:00,POV002L09P,61,103,153,1002,144.0,0.0,1563.0
20/06/2023 0:00,MASR025K,14,28,24,150,228.0,15.0,207.0
27/06/2023 0:00,ATN01K24P,75,219,716,1000,2248.0,0.0,1308.15
02/07/2023 0:00,SOS008L02P,52,92,78,100,302.0,0.0,370.0
03/07/2023 0:00,MAR01K24P,51,148,309,1000,576.0,175.0,1521.0
04/07/2023 0:00,ATN02K12P,31,93,125,600,637.0,100.0,604.0
04/07/2023 0:00,MASR025K,14,28,24,29,12.0,0.0,65.0
05/07/2023 0:00,SOP001L12P,16,31,27,220,50.0,50.0,346.5
05/07/2023 0:00,POPF01L12P,23,36,36,102,14.0,0.0,120.0
08/07/2023 0:00,MASR025K,14,28,24,100,26.0,25.0,238.0
10/07/2023 0:00,SOP001L12P,16,31,27,100,39.67001812,0.0,159.0
10/07/2023 0:00,POP002L09P,53,88,84,200,20.0,40.0,310.0
11/07/2023 0:00,SOP001L12P,16,31,27,106,4.0,0.0,338.0
